cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-5s0Pqa,ACH-000411,1,,,769P,PT-PRFotcHf,,,gs://ccle_bams/RRBS/G29750/769-P/v1/769-P.bam,gs://ccle_bams/RRBS/G29750/769-P/v1/769-P.bai,,Female,,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,KmvMow==,,,,,,,,,,
CDS-h8wy9j,ACH-000649,1,,,786O,PT-JLZKYOJS,,,gs://ccle_bams/RRBS/G29750/786-O/v1/786-O.bam,gs://ccle_bams/RRBS/G29750/786-O/v1/786-O.bai,,Male,,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,+To5zg==,,,,,,,,,,
CDS-wnEDpD,ACH-000137,1,,,8MGBA,PT-O4ZlsfND,,,gs://ccle_bams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bam,gs://ccle_bams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bai,,Female,,central_nervous_system,Brain Cancer,glioma,astrocytoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,wHq8oQ==,,,,,,,,,,
CDS-FwFOFk,ACH-001306,1,,,8305C,PT-KUpI8Pww,,,gs://ccle_bams/RRBS/G29750/8305C/v1/8305C.bam,gs://ccle_bams/RRBS/G29750/8305C/v1/8305C.bai,,Female,,thyroid,Thyroid Cancer,thyroid_carcinoma,,thyroid,,,RRBS,,,CCLE line,CCLE2,28/4/2013,,,,d+Us5A==,,,,,,,,,,
CDS-j7uEn4,ACH-001307,1,,,8505C,PT-NrzZdz3l,,,gs://ccle_bams/RRBS/G29750/8505C/v1/8505C.bam,gs://ccle_bams/RRBS/G29750/8505C/v1/8505C.bai,,Female,,thyroid,Thyroid Cancer,thyroid_carcinoma,,thyroid,,,RRBS,,,CCLE line,CCLE2,25/4/2013,,,,0oFKBw==,,,,,,,,,,
CDS-IKwhWq,ACH-000201,1,,,A204,PT-z5aR8w5q,,,gs://ccle_bams/RRBS/G29750/A-204/v1/A-204.bam,gs://ccle_bams/RRBS/G29750/A-204/v1/A-204.bai,,Female,,soft_tissue,Rhabdoid,malignant_rhabdoid_tumor,,soft_tissue,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,KCSr9w==,,,,,,,,,,
CDS-9H0fWU,ACH-000740,1,,,A253,PT-gdcTlKbA,,,gs://ccle_bams/RRBS/G29750/A-253/v2/A-253.bam,gs://ccle_bams/RRBS/G29750/A-253/v2/A-253.bai,,Male,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,salivary_gland,upper_aerodigestive,,,RRBS,,,CCLE line; Salivary gland squamous cell carcinoma,CCLE2,2/5/2013,,,,2cvwSQ==,,,,,,,,,,
CDS-lMztPx,ACH-000219,1,,,A375,PT-ElBSEZ03,,,gs://ccle_bams/RRBS/G29750/A-375/v1/A-375.bam,gs://ccle_bams/RRBS/G29750/A-375/v1/A-375.bai,,Female,,skin,Skin Cancer,melanoma,,skin,,,RRBS,,,CCLE line; A373-C6 has been derived from the parental line A375 by limiting dilution together with its twin clone A375-C5 which is IL-1 unresponsive (ECACC).,CCLE2,3/5/2013,,,,CDmoaA==,,,,,,,,,,
CDS-2Mvi26,ACH-000555,1,,,A498,PT-UliEIMsS,,,gs://ccle_bams/RRBS/G29750/A-498/v2/A-498.bam,gs://ccle_bams/RRBS/G29750/A-498/v2/A-498.bai,,Male,,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,5/4/2013,,,,xAWh7A==,,,,,,,,,,
CDS-cpFUml,ACH-000052,1,,,A673,PT-qNV2hluC,,,gs://ccle_bams/RRBS/G29750/A-673/v2/A-673.bam,gs://ccle_bams/RRBS/G29750/A-673/v2/A-673.bai,,Female,,soft_tissue,Bone Cancer,Ewing_sarcoma,,bone,,,RRBS,,,(RNAseq) EWS/FLI,CCLE2,2/5/2013,,,,+FUjWQ==,,,,,,,,,,
CDS-DHrFob,ACH-000429,1,,,A704,PT-DcKly8x9,,,gs://ccle_bams/RRBS/G29750/A-704/v1/A-704.bam,gs://ccle_bams/RRBS/G29750/A-704/v1/A-704.bai,,Male,,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,u3Ejyw==,,,,,,,,,,
CDS-ajFFmI,ACH-000008,1,,,A101D,PT-iDKi9wZz,,,gs://ccle_bams/RRBS/G29750/A101D/v1/A101D.bam,gs://ccle_bams/RRBS/G29750/A101D/v1/A101D.bai,,Male,,skin,Skin Cancer,melanoma,,skin,,,RRBS,,,,CCLE2,3/5/2013,,,,Wo3I2Q==,,,,,,,,,,
CDS-qly4h2,ACH-000558,1,,,A172,PT-xO4ZNPAD,,,gs://ccle_bams/RRBS/G29750/A172/v1/A172.bam,gs://ccle_bams/RRBS/G29750/A172/v1/A172.bai,,Male,,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,RRBS,,,CCLE line; glioblastoma_multiforme,CCLE2,14/5/2013,,,,LON2ig==,,,,,,,,,,
CDS-qRbDHP,ACH-000788,1,,,A2058,PT-wYRJPP5u,,,gs://ccle_bams/RRBS/G29750/A2058/v2/A2058.bam,gs://ccle_bams/RRBS/G29750/A2058/v2/A2058.bai,,Male,,lymph_node,Skin Cancer,melanoma,,skin,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,+3SeIg==,,,,,,,,,,
CDS-WW2rcX,ACH-000657,1,,,A2780,PT-bRcL4ndg,,,gs://ccle_bams/RRBS/G29750/A2780/v2/A2780.bam,gs://ccle_bams/RRBS/G29750/A2780/v2/A2780.bai,,Female,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,RRBS,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,6/4/2013,,,,M3gwLQ==,,,,,,,,,,
CDS-p6bJhw,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,,,gs://ccle_bams/RRBS/G29750/A3_KAW/v3/A3_KAW.bam,gs://ccle_bams/RRBS/G29750/A3_KAW/v3/A3_KAW.bai,,Female,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,RRBS,,,CCLE line,CCLE2,19/3/2013,,,,3K4/Gg==,,,,,,,,,,
CDS-CHemZF,ACH-000157,1,,,A4FUK,PT-VkImNBYI,,,gs://ccle_bams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bam,gs://ccle_bams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bai,,Female,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,RRBS,,,CCLE line,CCLE2,2/5/2013,,,,xsxebQ==,,,,,,,,,,
CDS-QxcUWf,ACH-000681,1,,,A549,PT-RDQiSS46,,,gs://ccle_bams/RRBS/G29750/A549/v2/A549.bam,gs://ccle_bams/RRBS/G29750/A549/v2/A549.bai,,Male,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,RRBS,,,CCLE line,CCLE2,5/4/2013,,,,qoC9Fg==,,,,,,,,,,
CDS-mPerNx,ACH-000528,1,,,ABC1,PT-zREWW5fc,,,gs://ccle_bams/RRBS/G29750/ABC-1/v2/ABC-1.bam,gs://ccle_bams/RRBS/G29750/ABC-1/v2/ABC-1.bai,,Male,,pleural_effusion,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,RRBS,,,CCLE line,CCLE2,2/5/2013,,,,huo6uQ==,,,,,,,,,,
CDS-IrJz16,ACH-000086,1,,,ACCMESO1,PT-Oc0UMzD7,,,gs://ccle_bams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bam,gs://ccle_bams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bai,,Female,,pleura,Lung Cancer,mesothelioma,,lung,,,RRBS,,,CCLE line,CCLE2,2/4/2013,,,,lZDR7A==,,,,,,,,,,
CDS-FTCurv,ACH-000046,1,,,ACHN,PT-SiRqERtt,,,gs://ccle_bams/RRBS/G29750/ACHN/v1/ACHN.bam,gs://ccle_bams/RRBS/G29750/ACHN/v1/ACHN.bai,,Male,,pleural_effusion,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,hauG4g==,,,,,,,,,,
CDS-witifk,ACH-000880,1,,,AGS,PT-AUgNDeB5,,,gs://ccle_bams/RRBS/G29750/AGS/v1/AGS.bam,gs://ccle_bams/RRBS/G29750/AGS/v1/AGS.bai,,Female,,stomach,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,RRBS,,,CCLE line,CCLE2,2/6/2013,,,,NopiWQ==,,,,,,,,,,
CDS-m15I58,ACH-000105,1,,,ALLSIL,PT-MRv86YiR,,,gs://ccle_bams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bam,gs://ccle_bams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bai,,Male,,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,t_cell,blood,,,RRBS,,,CCLE line,CCLE2,7/3/2013,,,,+FlZfQ==,,,,,,,,,,
CDS-SO0M2v,ACH-000269,1,,,AM38,PT-L9VR06Ke,,,gs://ccle_bams/RRBS/G29750/AM-38/v1/AM-38.bam,gs://ccle_bams/RRBS/G29750/AM-38/v1/AM-38.bai,,Male,,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,QPaHkw==,,,,,,,,,,
CDS-0AZmsv,ACH-000557,1,,,AML193,PT-eInj6zqa,,,gs://ccle_bams/RRBS/G29750/AML-193/v3/AML-193.bam,gs://ccle_bams/RRBS/G29750/AML-193/v3/AML-193.bai,,Female,,haematopoietic_and_lymphoid_tissue,Leukemia,AML,M5,blood,,,RRBS,,,CCLE line; M5; SFPQ-ZFP36L1; p53 mut; NRAS mut,CCLE2,7/3/2013,,,,uf4CTw==,,,,,,,,,,
CDS-Vvwi9V,ACH-000838,1,,,AMO1,PT-I58F1P8Z,,,gs://ccle_bams/RRBS/G29750/AMO-1/v2/AMO-1.bam,gs://ccle_bams/RRBS/G29750/AMO-1/v2/AMO-1.bai,,Female,,ascites,Myeloma,multiple_myeloma,plasmacytoma,plasma_cell,,,RRBS,,,CCLE line,CCLE2,2/4/2013,,,,4+Wwgg==,,,,,,,,,,
CDS-b5yPmx,ACH-000940,1,,,AN3CA,PT-cgPxAzcg,,,gs://ccle_bams/RRBS/G29750/AN3_CA/v4/AN3_CA.bam,gs://ccle_bams/RRBS/G29750/AN3_CA/v4/AN3_CA.bai,,Female,,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,,uterus,,,RRBS,,,CCLE line,CCLE2,5/6/2013,,,,FK6tMQ==,,,,,,,,,,
CDS-M3jdLW,ACH-000248,1,,,AU565,PT-ptT1s1d6,,,gs://ccle_bams/RRBS/G29750/AU565/v2/AU565.bam,gs://ccle_bams/RRBS/G29750/AU565/v2/AU565.bai,,Female,,pleural_effusion,Breast Cancer,breast_adenocarcinoma,ERneg_HER2pos,breast,,,RRBS,,,CCLE line; luminal; HER2Amp; The AU565 &amp; SK-BR-3 cell lines were established from the same patient (ATCC).,CCLE2,1/5/2013,,,,MwDb2A==,,,,,,,,,,
CDS-FotH6A,ACH-000222,1,,,ASPC1,PT-MTjzFHD6,,,gs://ccle_bams/RRBS/G29750/AsPC-1/v2/AsPC-1.bam,gs://ccle_bams/RRBS/G29750/AsPC-1/v2/AsPC-1.bai,,Female,,ascites,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,ivCjeQ==,,,,,,,,,,
CDS-YKWVum,ACH-000456,1,,,BCPAP,PT-cUiYJ5nV,,,gs://ccle_bams/RRBS/G29750/B-CPAP/v1/B-CPAP.bam,gs://ccle_bams/RRBS/G29750/B-CPAP/v1/B-CPAP.bai,,Female,,thyroid,Thyroid Cancer,thyroid_carcinoma,papillary,thyroid,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,qmWMbA==,,,,,,,,,,
CDS-zg6YbR,ACH-000593,1,,,BC3C,PT-i2HrmbyN,,,gs://ccle_bams/RRBS/G29750/BC-3C/v2/BC-3C.bam,gs://ccle_bams/RRBS/G29750/BC-3C/v2/BC-3C.bai,,Female,,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,Fs3Q0g==,,,,,,,,,,
CDS-003Hul,ACH-000923,1,,,BCP1,PT-OBzumMkm,,,gs://ccle_bams/RRBS/G29750/BCP-1/v1/BCP-1.bam,gs://ccle_bams/RRBS/G29750/BCP-1/v1/BCP-1.bai,,Male,,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell,lymphocyte,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,r56m5g==,,,,,,,,,,
CDS-VsqV1R,ACH-000080,1,,,BDCM,PT-Z4410ezk,,,gs://ccle_bams/RRBS/G29750/BDCM/v1/BDCM.bam,gs://ccle_bams/RRBS/G29750/BDCM/v1/BDCM.bai,,Male,,haematopoietic_and_lymphoid_tissue,Leukemia,AML,M5,blood,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,lR5iKw==,,,,,,,,,,
CDS-qXX0Oj,ACH-000603,1,,,BEN,PT-oeQdhz7f,,,gs://ccle_bams/RRBS/G29750/BEN/v1/BEN.bam,gs://ccle_bams/RRBS/G29750/BEN/v1/BEN.bai,,Male,,lymph_node,Lung Cancer,NSCLC,,lung,,,RRBS,,,CCLE line,CCLE2,14/5/2013,,,,KIXU6w==,,,,,,,,,,
CDS-HDW8FD,ACH-000802,1,,,BFTC905,PT-KTcR2tiv,,,gs://ccle_bams/RRBS/G29750/BFTC-905/v2/BFTC-905.bam,gs://ccle_bams/RRBS/G29750/BFTC-905/v2/BFTC-905.bai,,Female,,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,ptJb8Q==,,,,,,,,,,
CDS-m8UUS7,ACH-000792,1,,,BFTC909,PT-l3YxiXJ0,,,gs://ccle_bams/RRBS/G29750/BFTC-909/v2/BFTC-909.bam,gs://ccle_bams/RRBS/G29750/BFTC-909/v2/BFTC-909.bai,,Male,,kidney,Kidney Cancer,renal_cell_carcinoma,transitional_cell,kidney,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,DoEj1g==,,,,,,,,,,
CDS-ao3C99,ACH-000191,1,,,BHT101,PT-kVrztcRn,,,gs://ccle_bams/RRBS/G29750/BHT-101/v2/BHT-101.bam,gs://ccle_bams/RRBS/G29750/BHT-101/v2/BHT-101.bai,,Female,,lymph_node,Thyroid Cancer,thyroid_carcinoma,papillary,thyroid,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,h+L6CA==,,,,,,,,,,
CDS-1aT0QG,ACH-000548,1,,,BHY,PT-DzmNirHg,,,gs://ccle_bams/RRBS/G29750/BHY/v2/BHY.bam,gs://ccle_bams/RRBS/G29750/BHY/v2/BHY.bai,,Male,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,zbqxkQ==,,,,,,,,,,
CDS-Zs5Bbz,ACH-000503,1,,,BICR16,PT-POh8mDu0,,,gs://ccle_bams/RRBS/G29750/BICR_16/v3/BICR_16.bam,gs://ccle_bams/RRBS/G29750/BICR_16/v3/BICR_16.bai,,Male,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,17/3/2013,,,,hSggFA==,,,,,,,,,,
CDS-hHFuUY,ACH-000992,1,,,BICR18,PT-Wxij6QdZ,,,gs://ccle_bams/RRBS/G29750/BICR_18/v1/BICR_18.bam,gs://ccle_bams/RRBS/G29750/BICR_18/v1/BICR_18.bai,,Male,,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,2/6/2013,,,,DX13gg==,,,,,,,,,,
CDS-72TICN,ACH-000794,1,,,BICR22,PT-iXzLHiO2,,,gs://ccle_bams/RRBS/G29750/BICR_22/v2/BICR_22.bam,gs://ccle_bams/RRBS/G29750/BICR_22/v2/BICR_22.bai,,Male,,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,POy/Gw==,,,,,,,,,,
CDS-voPZj8,ACH-000228,1,,,BICR31,PT-gshyqQzR,,,gs://ccle_bams/RRBS/G29750/BICR_31/v3/BICR_31.bam,gs://ccle_bams/RRBS/G29750/BICR_31/v3/BICR_31.bai,,Male,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,kpnL6A==,,,,,,,,,,
CDS-inOUl9,ACH-000771,1,,,BICR56,PT-NjvSuFlD,,,gs://ccle_bams/RRBS/G29750/BICR_56/v2/BICR_56.bam,gs://ccle_bams/RRBS/G29750/BICR_56/v2/BICR_56.bai,,Female,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,22/4/2013,,,,PttEmg==,,,,,,,,,,
CDS-edRxl0,ACH-000415,1,,,BICR6,PT-eONpyIln,,,gs://ccle_bams/RRBS/G29750/BICR_6/v2/BICR_6.bam,gs://ccle_bams/RRBS/G29750/BICR_6/v2/BICR_6.bai,,Male,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,r267Zg==,,,,,,,,,,
CDS-DLqCuZ,ACH-000245,1,,,BL41,PT-QYRnYmk3,,,gs://ccle_bams/RRBS/G29750/BL-41/v3/BL-41.bam,gs://ccle_bams/RRBS/G29750/BL-41/v3/BL-41.bai,,Male,,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,,,RRBS,,,CCLE line,CCLE2,17/3/2013,,,,Hfq9Jg==,,,,,,,,,,
CDS-7q5m0q,ACH-000402,1,,,BL70,PT-1V2o25rk,,,gs://ccle_bams/RRBS/G29750/BL-70/v2/BL-70.bam,gs://ccle_bams/RRBS/G29750/BL-70/v2/BL-70.bai,,Male,,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,ZjkQ4w==,,,,,,,,,,
CDS-VR6dBb,ACH-000536,1,,,BT20,PT-k9G5Hq6D,,,gs://ccle_bams/RRBS/G29750/BT-20/v1/BT-20.bam,gs://ccle_bams/RRBS/G29750/BT-20/v1/BT-20.bai,,Female,,breast,Breast Cancer,breast_ductal_carcinoma,ERneg_HER2neg,breast,,,RRBS,,,CCLE line; basal; TNBC,CCLE2,24/4/2013,,,,Y8aCdA==,,,,,,,,,,
CDS-3dX6MY,ACH-000927,1,,,BT474,PT-iQWEIGT8,,,gs://ccle_bams/RRBS/G29750/BT-474/v3/BT-474.bam,gs://ccle_bams/RRBS/G29750/BT-474/v3/BT-474.bai,,Female,,breast,Breast Cancer,breast_ductal_carcinoma,ERpos_HER2pos,breast,,,RRBS,,,CCLE line; HER2Amp/ERpos; luminal,CCLE2,3/6/2013,,,,qKJIBQ==,,,,,,,,,,
CDS-dP0Zcp,ACH-000818,1,,,BT483,PT-1E3fpdA3,,,gs://ccle_bams/RRBS/G29750/BT-483/v1/BT-483.bam,gs://ccle_bams/RRBS/G29750/BT-483/v1/BT-483.bai,,Female,,breast,Breast Cancer,breast_ductal_carcinoma,ERpos_HER2neg,breast,,,RRBS,,,CCLE line; HER2Amp/Erpos; luminal,CCLE2,1/5/2013,,,,2Yg8YQ==,,,,,,,,,,
CDS-PV4Uil,ACH-000288,1,,,BT549,PT-X1TwNJLv,,,gs://ccle_bams/RRBS/G29750/BT-549/v3/BT-549.bam,gs://ccle_bams/RRBS/G29750/BT-549/v3/BT-549.bai,,Female,,breast,Breast Cancer,breast_ductal_carcinoma,ERneg_HER2neg,breast,,,RRBS,,,CCLE line; basal; TNBC,CCLE2,10/6/2013,,,,Qiglcg==,,,,,,,,,,
CDS-OaGUnR,ACH-000432,1,,,BV173,PT-QQLO0mxT,,,gs://ccle_bams/RRBS/G29750/BV-173/v1/BV-173.bam,gs://ccle_bams/RRBS/G29750/BV-173/v1/BV-173.bai,,Male,,haematopoietic_and_lymphoid_tissue,Leukemia,CML,blast_crisis,blood,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,5VnYsg==,,,,,,,,,,
CDS-3oeW2J,ACH-001016,1,,,BECKER,PT-lPWTjjex,,,gs://ccle_bams/RRBS/G29750/Becker/v2/Becker.bam,gs://ccle_bams/RRBS/G29750/Becker/v2/Becker.bai,,Male,,central_nervous_system,Brain Cancer,glioma,,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,LnIE8A==,,,,,,,,,,
CDS-hmejbw,ACH-000535,1,,,BXPC3,PT-XyxqNwrO,,,gs://ccle_bams/RRBS/G29750/BxPC-3/v1/BxPC-3.bam,gs://ccle_bams/RRBS/G29750/BxPC-3/v1/BxPC-3.bai,,Female,,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,RRBS,,,CCLE line,CCLE2,2/6/2013,,,,Byoh+A==,,,,,,,,,,
CDS-Ed88uT,ACH-000009,1,,,C2BBE1,PT-Gm3j07Lm,,,gs://ccle_bams/RRBS/G29750/C2BBe1/v2/C2BBe1.bam,gs://ccle_bams/RRBS/G29750/C2BBe1/v2/C2BBe1.bai,CACO2,Male,,Colon,Colon/Colorectal Cancer,colorectal_adenocarcinoma,,colorectal,,,RRBS,,,CCLE line; clone of Caco2 (ATCC),CCLE2,22/4/2013,,,,UR1uKg==,,,,,,,,,,
CDS-OXiycI,ACH-000580,1,,,C32,PT-IBx5yvTA,,,gs://ccle_bams/RRBS/G29750/C32/v3/C32.bam,gs://ccle_bams/RRBS/G29750/C32/v3/C32.bai,,Male,,skin,Skin Cancer,melanoma,amelanotic,skin,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,1Fik3g==,,,,,,,,,,
