cds_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,stripped_cell_line_name,gender,notes,primary_site,primary_disease,subtype,comments,arxspan_id,ccle_name,version,sm_id,source,datatype,sequencing_type,sequencing_date,baits,origin,subsubtype,patient_id,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-5s0Pqa,,gs://ccle_bams/RRBS/G29750/769-P/v1/769-P.bam,gs://ccle_bams/RRBS/G29750/769-P/v1/769-P.bai,,769P,Female,Female,kidney,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000411,,1,,CCLE2,RRBS,,734889.0,,kidney,clear_cell,PT-PRFotcHf,,,,KmvMow==,,,,,,,,,,
CDS-h8wy9j,,gs://ccle_bams/RRBS/G29750/786-O/v1/786-O.bam,gs://ccle_bams/RRBS/G29750/786-O/v1/786-O.bai,,786O,Male,Male,kidney,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000649,,1,,CCLE2,RRBS,,734898.25,,kidney,clear_cell,PT-JLZKYOJS,,,,+To5zg==,,,,,,,,,,
CDS-wnEDpD,,gs://ccle_bams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bam,gs://ccle_bams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bai,,8MGBA,Female,Female,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000137,,1,,CCLE2,RRBS,,734898.0,,central_nervous_system,astrocytoma,PT-O4ZlsfND,,,,wHq8oQ==,,,,,,,,,,
CDS-FwFOFk,,gs://ccle_bams/RRBS/G29750/8305C/v1/8305C.bam,gs://ccle_bams/RRBS/G29750/8305C/v1/8305C.bai,,8305C,Female,Female,thyroid,Thyroid Cancer,thyroid_carcinoma,CCLE line,ACH-001306,,1,,CCLE2,RRBS,,734893.0,,thyroid,,PT-KUpI8Pww,,,,d+Us5A==,,,,,,,,,,
CDS-j7uEn4,,gs://ccle_bams/RRBS/G29750/8505C/v1/8505C.bam,gs://ccle_bams/RRBS/G29750/8505C/v1/8505C.bai,,8505C,Female,Female,thyroid,Thyroid Cancer,thyroid_carcinoma,CCLE line,ACH-001307,,1,,CCLE2,RRBS,,734890.0,,thyroid,,PT-NrzZdz3l,,,,0oFKBw==,,,,,,,,,,
CDS-IKwhWq,,gs://ccle_bams/RRBS/G29750/A-204/v1/A-204.bam,gs://ccle_bams/RRBS/G29750/A-204/v1/A-204.bai,,A204,Female,Female,soft_tissue,Rhabdoid,malignant_rhabdoid_tumor,CCLE line,ACH-000201,,1,,CCLE2,RRBS,,734889.0,,soft_tissue,,PT-z5aR8w5q,,,,KCSr9w==,,,,,,,,,,
CDS-9H0fWU,,gs://ccle_bams/RRBS/G29750/A-253/v2/A-253.bam,gs://ccle_bams/RRBS/G29750/A-253/v2/A-253.bai,,A253,Male,Male,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line; Salivary gland squamous cell carcinoma,ACH-000740,,1,,CCLE2,RRBS,,734897.5,,upper_aerodigestive,salivary_gland,PT-gdcTlKbA,,,,2cvwSQ==,,,,,,,,,,
CDS-lMztPx,,gs://ccle_bams/RRBS/G29750/A-375/v1/A-375.bam,gs://ccle_bams/RRBS/G29750/A-375/v1/A-375.bai,,A375,Female,Female,skin,Skin Cancer,melanoma,CCLE line; A373-C6 has been derived from the parental line A375 by limiting dilution together with its twin clone A375-C5 which is IL-1 unresponsive (ECACC).,ACH-000219,,1,,CCLE2,RRBS,,734898.25,,skin,,PT-ElBSEZ03,,,,CDmoaA==,,,,,,,,,,
CDS-2Mvi26,,gs://ccle_bams/RRBS/G29750/A-498/v2/A-498.bam,gs://ccle_bams/RRBS/G29750/A-498/v2/A-498.bai,,A498,Male,Male,kidney,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000555,,1,,CCLE2,RRBS,,734870.0,,kidney,,PT-UliEIMsS,,,,xAWh7A==,,,,,,,,,,
CDS-cpFUml,,gs://ccle_bams/RRBS/G29750/A-673/v2/A-673.bam,gs://ccle_bams/RRBS/G29750/A-673/v2/A-673.bai,,A673,Female,Female,soft_tissue,Bone Cancer,Ewing_sarcoma,(RNAseq) EWS/FLI,ACH-000052,,1,,CCLE2,RRBS,,734897.25,,bone,,PT-qNV2hluC,,,,+FUjWQ==,,,,,,,,,,
CDS-DHrFob,,gs://ccle_bams/RRBS/G29750/A-704/v1/A-704.bam,gs://ccle_bams/RRBS/G29750/A-704/v1/A-704.bai,,A704,Male,Male,kidney,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000429,,1,,CCLE2,RRBS,,734889.0,,kidney,,PT-DcKly8x9,,,,u3Ejyw==,,,,,,,,,,
CDS-ajFFmI,,gs://ccle_bams/RRBS/G29750/A101D/v1/A101D.bam,gs://ccle_bams/RRBS/G29750/A101D/v1/A101D.bai,,,,,,,,,ACH-000008,,1,,CCLE2,RRBS,,734898.0,,,,PT-iDKi9wZz,,,,Wo3I2Q==,,,,,,,,,,
CDS-qly4h2,,gs://ccle_bams/RRBS/G29750/A172/v1/A172.bam,gs://ccle_bams/RRBS/G29750/A172/v1/A172.bai,,A172,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line; glioblastoma_multiforme,ACH-000558,,1,,CCLE2,RRBS,,734909.0,,central_nervous_system,glioblastoma,PT-xO4ZNPAD,,,,LON2ig==,,,,,,,,,,
CDS-qRbDHP,,gs://ccle_bams/RRBS/G29750/A2058/v2/A2058.bam,gs://ccle_bams/RRBS/G29750/A2058/v2/A2058.bai,,A2058,Male,Male,lymph_node,Skin Cancer,melanoma,CCLE line,ACH-000788,,1,,CCLE2,RRBS,,734862.75,,skin,,PT-wYRJPP5u,,,,+3SeIg==,,,,,,,,,,
CDS-WW2rcX,,gs://ccle_bams/RRBS/G29750/A2780/v2/A2780.bam,gs://ccle_bams/RRBS/G29750/A2780/v2/A2780.bai,,A2780,Female,Female,ovary,Ovarian Cancer,ovary_adenocarcinoma,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,ACH-000657,,1,,CCLE2,RRBS,,734871.5,,ovary,endometrioid,PT-bRcL4ndg,,,,M3gwLQ==,,,,,,,,,,
CDS-p6bJhw,,gs://ccle_bams/RRBS/G29750/A3_KAW/v3/A3_KAW.bam,gs://ccle_bams/RRBS/G29750/A3_KAW/v3/A3_KAW.bai,,A3KAW,Female,Female,ascites,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000697,,1,,CCLE2,RRBS,,734854.5,,lymphocyte,DLBCL,PT-yogL5oHQ,,,,3K4/Gg==,,,,,,,,,,
CDS-CHemZF,,gs://ccle_bams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bam,gs://ccle_bams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bai,,A4FUK,Female,Female,ascites,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000157,,1,,CCLE2,RRBS,,734897.5,,lymphocyte,DLBCL,PT-VkImNBYI,,,,xsxebQ==,,,,,,,,,,
CDS-QxcUWf,,gs://ccle_bams/RRBS/G29750/A549/v2/A549.bam,gs://ccle_bams/RRBS/G29750/A549/v2/A549.bai,,A549,Male,Male,lung,Lung Cancer,NSCLC,CCLE line,ACH-000681,,1,,CCLE2,RRBS,,734870.0,,lung,NSCLC_adenocarcinoma,PT-RDQiSS46,,,,qoC9Fg==,,,,,,,,,,
CDS-mPerNx,,gs://ccle_bams/RRBS/G29750/ABC-1/v2/ABC-1.bam,gs://ccle_bams/RRBS/G29750/ABC-1/v2/ABC-1.bai,,ABC1,Male,Male,pleural_effusion,Lung Cancer,NSCLC,CCLE line,ACH-000528,,1,,CCLE2,RRBS,,734897.25,,lung,NSCLC_adenocarcinoma,PT-zREWW5fc,,,,huo6uQ==,,,,,,,,,,
CDS-IrJz16,,gs://ccle_bams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bam,gs://ccle_bams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bai,,ACCMESO1,Female,Female,pleura,Lung Cancer,mesothelioma,CCLE line,ACH-000086,,1,,CCLE2,RRBS,,734867.75,,lung,,PT-Oc0UMzD7,,,,lZDR7A==,,,,,,,,,,
CDS-FTCurv,,gs://ccle_bams/RRBS/G29750/ACHN/v1/ACHN.bam,gs://ccle_bams/RRBS/G29750/ACHN/v1/ACHN.bai,,ACHN,Male,Male,pleural_effusion,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000046,,1,,CCLE2,RRBS,,734895.0,,kidney,,PT-SiRqERtt,,,,hauG4g==,,,,,,,,,,
CDS-witifk,,gs://ccle_bams/RRBS/G29750/AGS/v1/AGS.bam,gs://ccle_bams/RRBS/G29750/AGS/v1/AGS.bai,,AGS,Female,Female,stomach,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000880,,1,,CCLE2,RRBS,,734927.0,,gastric,,PT-AUgNDeB5,,,,NopiWQ==,,,,,,,,,,
CDS-m15I58,,gs://ccle_bams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bam,gs://ccle_bams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bai,,ALLSIL,Male,Male,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,CCLE line,ACH-000105,,1,,CCLE2,RRBS,,734842.0,,blood,t_cell,PT-MRv86YiR,,,,+FlZfQ==,,,,,,,,,,
CDS-SO0M2v,,gs://ccle_bams/RRBS/G29750/AM-38/v1/AM-38.bam,gs://ccle_bams/RRBS/G29750/AM-38/v1/AM-38.bai,,AM38,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000269,,1,,CCLE2,RRBS,,734889.0,,central_nervous_system,glioblastoma,PT-L9VR06Ke,,,,QPaHkw==,,,,,,,,,,
CDS-0AZmsv,,gs://ccle_bams/RRBS/G29750/AML-193/v3/AML-193.bam,gs://ccle_bams/RRBS/G29750/AML-193/v3/AML-193.bai,,AML193,Female,Female,haematopoietic_and_lymphoid_tissue,Leukemia,AML,CCLE line; M5; SFPQ-ZFP36L1; p53 mut; NRAS mut,ACH-000557,,1,,CCLE2,RRBS,,734842.0,,blood,M5,PT-eInj6zqa,,,,uf4CTw==,,,,,,,,,,
CDS-Vvwi9V,,gs://ccle_bams/RRBS/G29750/AMO-1/v2/AMO-1.bam,gs://ccle_bams/RRBS/G29750/AMO-1/v2/AMO-1.bai,,AMO1,Female,Female,ascites,Myeloma,multiple_myeloma,CCLE line,ACH-000838,,1,,CCLE2,RRBS,,734867.75,,plasma_cell,plasmacytoma,PT-I58F1P8Z,,,,4+Wwgg==,,,,,,,,,,
CDS-b5yPmx,,gs://ccle_bams/RRBS/G29750/AN3_CA/v4/AN3_CA.bam,gs://ccle_bams/RRBS/G29750/AN3_CA/v4/AN3_CA.bai,,AN3CA,Female,Female,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,CCLE line,ACH-000940,,1,,CCLE2,RRBS,,734930.125,,uterus,,PT-cgPxAzcg,,,,FK6tMQ==,,,,,,,,,,
CDS-M3jdLW,,gs://ccle_bams/RRBS/G29750/AU565/v2/AU565.bam,gs://ccle_bams/RRBS/G29750/AU565/v2/AU565.bai,,AU565,Female,Female,pleural_effusion,Breast Cancer,breast_adenocarcinoma,CCLE line; luminal; HER2Amp; The AU565 &amp; SK-BR-3 cell lines were established from the same patient (ATCC).,ACH-000248,,1,,CCLE2,RRBS,,734895.0,,breast,ERneg_HER2pos,PT-ptT1s1d6,,,,MwDb2A==,,,,,,,,,,
CDS-FotH6A,,gs://ccle_bams/RRBS/G29750/AsPC-1/v2/AsPC-1.bam,gs://ccle_bams/RRBS/G29750/AsPC-1/v2/AsPC-1.bai,,ASPC1,Female,Female,ascites,Pancreatic Cancer,exocrine,CCLE line,ACH-000222,,1,,CCLE2,RRBS,,734862.0,,pancreas,exocrine_adenocarcinoma,PT-MTjzFHD6,,,,ivCjeQ==,,,,,,,,,,
CDS-YKWVum,,gs://ccle_bams/RRBS/G29750/B-CPAP/v1/B-CPAP.bam,gs://ccle_bams/RRBS/G29750/B-CPAP/v1/B-CPAP.bai,,BCPAP,Female,Female,thyroid,Thyroid Cancer,thyroid_carcinoma,CCLE line,ACH-000456,,1,,CCLE2,RRBS,,734898.0,,thyroid,papillary,PT-cUiYJ5nV,,,,qmWMbA==,,,,,,,,,,
CDS-zg6YbR,,gs://ccle_bams/RRBS/G29750/BC-3C/v2/BC-3C.bam,gs://ccle_bams/RRBS/G29750/BC-3C/v2/BC-3C.bai,,BC3C,Female,Female,urinary_tract,Bladder Cancer,bladder_carcinoma,CCLE line,ACH-000593,,1,,CCLE2,RRBS,,734871.5,,urinary_tract,bladder_transitional_cell,PT-i2HrmbyN,,,,Fs3Q0g==,,,,,,,,,,
CDS-003Hul,,gs://ccle_bams/RRBS/G29750/BCP-1/v1/BCP-1.bam,gs://ccle_bams/RRBS/G29750/BCP-1/v1/BCP-1.bai,,BCP1,Male,Male,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000923,,1,,CCLE2,RRBS,,734898.0,,lymphocyte,b_cell,PT-OBzumMkm,,,,r56m5g==,,,,,,,,,,
CDS-VsqV1R,,gs://ccle_bams/RRBS/G29750/BDCM/v1/BDCM.bam,gs://ccle_bams/RRBS/G29750/BDCM/v1/BDCM.bai,,BDCM,Male,Male,haematopoietic_and_lymphoid_tissue,Leukemia,AML,CCLE line,ACH-000080,,1,,CCLE2,RRBS,,734895.0,,blood,M5,PT-Z4410ezk,,,,lR5iKw==,,,,,,,,,,
CDS-qXX0Oj,,gs://ccle_bams/RRBS/G29750/BEN/v1/BEN.bam,gs://ccle_bams/RRBS/G29750/BEN/v1/BEN.bai,,BEN,Male,Male,lymph_node,Lung Cancer,NSCLC,CCLE line,ACH-000603,,1,,CCLE2,RRBS,,734909.0,,lung,,PT-oeQdhz7f,,,,KIXU6w==,,,,,,,,,,
CDS-HDW8FD,,gs://ccle_bams/RRBS/G29750/BFTC-905/v2/BFTC-905.bam,gs://ccle_bams/RRBS/G29750/BFTC-905/v2/BFTC-905.bai,,BFTC905,Female,Female,urinary_tract,Bladder Cancer,bladder_carcinoma,CCLE line,ACH-000802,,1,,CCLE2,RRBS,,734895.0,,urinary_tract,bladder_transitional_cell,PT-KTcR2tiv,,,,ptJb8Q==,,,,,,,,,,
CDS-m8UUS7,,gs://ccle_bams/RRBS/G29750/BFTC-909/v2/BFTC-909.bam,gs://ccle_bams/RRBS/G29750/BFTC-909/v2/BFTC-909.bai,,BFTC909,Male,Male,kidney,Kidney Cancer,renal_cell_carcinoma,CCLE line,ACH-000792,,1,,CCLE2,RRBS,,734862.0,,kidney,transitional_cell,PT-l3YxiXJ0,,,,DoEj1g==,,,,,,,,,,
CDS-ao3C99,,gs://ccle_bams/RRBS/G29750/BHT-101/v2/BHT-101.bam,gs://ccle_bams/RRBS/G29750/BHT-101/v2/BHT-101.bai,,BHT101,Female,Female,lymph_node,Thyroid Cancer,thyroid_carcinoma,CCLE line,ACH-000191,,1,,CCLE2,RRBS,,734862.75,,thyroid,papillary,PT-kVrztcRn,,,,h+L6CA==,,,,,,,,,,
CDS-1aT0QG,,gs://ccle_bams/RRBS/G29750/BHY/v2/BHY.bam,gs://ccle_bams/RRBS/G29750/BHY/v2/BHY.bai,,BHY,Male,Male,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000548,,1,,CCLE2,RRBS,,734871.5,,upper_aerodigestive,oral,PT-DzmNirHg,,,,zbqxkQ==,,,,,,,,,,
CDS-Zs5Bbz,,gs://ccle_bams/RRBS/G29750/BICR_16/v3/BICR_16.bam,gs://ccle_bams/RRBS/G29750/BICR_16/v3/BICR_16.bai,,BICR16,Male,Male,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000503,,1,,CCLE2,RRBS,,734852.1666666666,,upper_aerodigestive,oral,PT-POh8mDu0,,,,hSggFA==,,,,,,,,,,
CDS-hHFuUY,,gs://ccle_bams/RRBS/G29750/BICR_18/v1/BICR_18.bam,gs://ccle_bams/RRBS/G29750/BICR_18/v1/BICR_18.bai,,BICR18,Male,Male,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000992,,1,,CCLE2,RRBS,,734927.0,,upper_aerodigestive,,PT-Wxij6QdZ,,,,DX13gg==,,,,,,,,,,
CDS-72TICN,,gs://ccle_bams/RRBS/G29750/BICR_22/v2/BICR_22.bam,gs://ccle_bams/RRBS/G29750/BICR_22/v2/BICR_22.bai,,BICR22,Male,Male,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000794,,1,,CCLE2,RRBS,,734862.75,,upper_aerodigestive,oral,PT-iXzLHiO2,,,,POy/Gw==,,,,,,,,,,
CDS-voPZj8,,gs://ccle_bams/RRBS/G29750/BICR_31/v3/BICR_31.bam,gs://ccle_bams/RRBS/G29750/BICR_31/v3/BICR_31.bai,,BICR31,Male,Male,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000228,,1,,CCLE2,RRBS,,734871.0,,upper_aerodigestive,oral,PT-gshyqQzR,,,,kpnL6A==,,,,,,,,,,
CDS-inOUl9,,gs://ccle_bams/RRBS/G29750/BICR_56/v2/BICR_56.bam,gs://ccle_bams/RRBS/G29750/BICR_56/v2/BICR_56.bai,,BICR56,Female,Female,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000771,,1,,CCLE2,RRBS,,734887.5,,upper_aerodigestive,oral,PT-NjvSuFlD,,,,PttEmg==,,,,,,,,,,
CDS-edRxl0,,gs://ccle_bams/RRBS/G29750/BICR_6/v2/BICR_6.bam,gs://ccle_bams/RRBS/G29750/BICR_6/v2/BICR_6.bai,,BICR6,Male,Male,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,CCLE line,ACH-000415,,1,,CCLE2,RRBS,,734862.75,,upper_aerodigestive,oral,PT-eONpyIln,,,,r267Zg==,,,,,,,,,,
CDS-DLqCuZ,,gs://ccle_bams/RRBS/G29750/BL-41/v3/BL-41.bam,gs://ccle_bams/RRBS/G29750/BL-41/v3/BL-41.bai,,BL41,Male,Male,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000245,,1,,CCLE2,RRBS,,734852.1666666666,,lymphocyte,b_cell_burkitt,PT-QYRnYmk3,,,,Hfq9Jg==,,,,,,,,,,
CDS-7q5m0q,,gs://ccle_bams/RRBS/G29750/BL-70/v2/BL-70.bam,gs://ccle_bams/RRBS/G29750/BL-70/v2/BL-70.bai,,BL70,Male,Male,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000402,,1,,CCLE2,RRBS,,734895.0,,lymphocyte,b_cell_burkitt,PT-1V2o25rk,,,,ZjkQ4w==,,,,,,,,,,
CDS-VR6dBb,,gs://ccle_bams/RRBS/G29750/BT-20/v1/BT-20.bam,gs://ccle_bams/RRBS/G29750/BT-20/v1/BT-20.bai,,BT20,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; basal; TNBC,ACH-000536,,1,,CCLE2,RRBS,,734889.0,,breast,ERneg_HER2neg,PT-k9G5Hq6D,,,,Y8aCdA==,,,,,,,,,,
CDS-3dX6MY,,gs://ccle_bams/RRBS/G29750/BT-474/v3/BT-474.bam,gs://ccle_bams/RRBS/G29750/BT-474/v3/BT-474.bai,,BT474,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp/ERpos; luminal,ACH-000927,,1,,CCLE2,RRBS,,734928.5,,breast,ERpos_HER2pos,PT-iQWEIGT8,,,,qKJIBQ==,,,,,,,,,,
CDS-dP0Zcp,,gs://ccle_bams/RRBS/G29750/BT-483/v1/BT-483.bam,gs://ccle_bams/RRBS/G29750/BT-483/v1/BT-483.bai,,BT483,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; HER2Amp/Erpos; luminal,ACH-000818,,1,,CCLE2,RRBS,,734895.0,,breast,ERpos_HER2neg,PT-1E3fpdA3,,,,2Yg8YQ==,,,,,,,,,,
CDS-PV4Uil,,gs://ccle_bams/RRBS/G29750/BT-549/v3/BT-549.bam,gs://ccle_bams/RRBS/G29750/BT-549/v3/BT-549.bai,,BT549,Female,Female,breast,Breast Cancer,breast_ductal_carcinoma,CCLE line; basal; TNBC,ACH-000288,,1,,CCLE2,RRBS,,734935.75,,breast,ERneg_HER2neg,PT-X1TwNJLv,,,,Qiglcg==,,,,,,,,,,
CDS-OaGUnR,,gs://ccle_bams/RRBS/G29750/BV-173/v1/BV-173.bam,gs://ccle_bams/RRBS/G29750/BV-173/v1/BV-173.bai,,BV173,Male,Male,haematopoietic_and_lymphoid_tissue,Leukemia,CML,CCLE line,ACH-000432,,1,,CCLE2,RRBS,,734889.0,,blood,blast_crisis,PT-QQLO0mxT,,,,5VnYsg==,,,,,,,,,,
CDS-3oeW2J,,gs://ccle_bams/RRBS/G29750/Becker/v2/Becker.bam,gs://ccle_bams/RRBS/G29750/Becker/v2/Becker.bai,,BECKER,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-001016,,1,,CCLE2,RRBS,,734862.0,,central_nervous_system,,PT-lPWTjjex,,,,LnIE8A==,,,,,,,,,,
CDS-hmejbw,,gs://ccle_bams/RRBS/G29750/BxPC-3/v1/BxPC-3.bam,gs://ccle_bams/RRBS/G29750/BxPC-3/v1/BxPC-3.bai,,BXPC3,Female,Female,pancreas,Pancreatic Cancer,exocrine,CCLE line,ACH-000535,,1,,CCLE2,RRBS,,734927.0,,pancreas,exocrine_adenocarcinoma,PT-XyxqNwrO,,,,Byoh+A==,,,,,,,,,,
CDS-Ed88uT,,gs://ccle_bams/RRBS/G29750/C2BBe1/v2/C2BBe1.bam,gs://ccle_bams/RRBS/G29750/C2BBe1/v2/C2BBe1.bai,CACO2,C2BBE1,Male,Male,Colon,Colon/Colorectal Cancer,colorectal_adenocarcinoma,CCLE line; clone of Caco2 (ATCC),ACH-000009,,1,,CCLE2,RRBS,,734887.5,,colorectal,,PT-Gm3j07Lm,,,,UR1uKg==,,,,,,,,,,
CDS-OXiycI,,gs://ccle_bams/RRBS/G29750/C32/v3/C32.bam,gs://ccle_bams/RRBS/G29750/C32/v3/C32.bai,,C32,Male,Male,skin,Skin Cancer,melanoma,CCLE line,ACH-000580,,1,,CCLE2,RRBS,,734871.0,,skin,amelanotic,PT-IBx5yvTA,,,,1Fik3g==,,,,,,,,,,
CDS-WLIW2O,,gs://ccle_bams/RRBS/G29750/CA46/v2/CA46.bam,gs://ccle_bams/RRBS/G29750/CA46/v2/CA46.bai,,CA46,Male,Male,ascites,Lymphoma,non_hodgkin_lymphoma,CCLE line,ACH-000440,,1,,CCLE2,RRBS,,734897.25,,lymphocyte,b_cell_burkitt,PT-lYQODzcw,,,,nxY1Gw==,,,,,,,,,,
