,index,unknown,v1,v2,v3,v4,v5,v6,current
27,A-673,,gs://ccle_bams/wes/C817/A-673/current/A-673.bam,gs://ccle_bams/wes/G29750/A-673/v2/A-673.bam,,,,,
28,A-704,,gs://ccle_bams/wes/G32831/A-704/v1/A-704.bam,,,,,,gs://ccle_bams/wes/G16640/A-704/current/A-704.bam
29,A101D,,gs://ccle_bams/rna/G29750/A101D/v1/A101D.bam,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_19samples_02012018/G27228/NA/A101D/v2/A101D.bam,,,,,gs://ccle_bams/rna/G16640/A101D/current/A101D.bam
30,A1207,,gs://ccle_bams/wes/G41775/A1207/current/A1207.bam,,,,,,
31,A172,,gs://ccle_bams/wes/G29750/A172/v1/A172.bam,,,,,,
32,A2058,,gs://ccle_bams/rna/G32831/A2058/v1/A2058.bam,gs://ccle_bams/rna/G29750/A2058/v2/A2058.bam,,,,,gs://ccle_bams/wes/G16640/A2058/current/A2058.bam
33,A2780,,gs://ccle_bams/rna/G16446/A2780/v1/A2780.bam,gs://ccle_bams/rna/G29750/A2780/v2/A2780.bam,,,,,gs://ccle_bams/wes/G16640/A2780/current/A2780.bam
34,A375SKINCJ1,gs://ccle_bams/wes/A375SKINCJ1.bam,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ1/v1/A375SKINCJ1.bam,,,,,,
35,A375SKINCJ2,,gs://ccle_bams/wes/A375SKINCJ2.bam,,,,,,
36,A375SKINCJ3,gs://ccle_bams/wes/A375SKINCJ3.bam,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ3/v1/A375SKINCJ3.bam,,,,,,
37,A388,,gs://ccle_bams/wes/A388/current/A388.bam,,gs://ccle_bams/rna/Getz_IBM_CellLine_RNASeq_March2019/RP-1561/RNA/A388/v3/A388.bam,,,,
38,A3_KAW,,,gs://ccle_bams/wes/G32831/A3_KAW/v2/A3_KAW.bam,gs://ccle_bams/wes/G29750/A3_KAW/v3/A3_KAW.bam,,,,
39,A427,,gs://ccle_bams/wes/RP-1211/Exome/A427/current/A427.bam,,,,,,
40,A431_1,,gs://ccle_bams/wes/RP-1500/Exome/A431_1/current/A431_1.bam,,,gs://ccle_bams/wes/G134624/A431_1/v4/A431_1.bam,,,
41,A4_Fuk,,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeq_13samples_11282017/G27240/NA/A4_Fuk/v1/A4_Fuk.bam,gs://ccle_bams/rna/G29750/A4_Fuk/v2/A4_Fuk.bam,,,,,gs://ccle_bams/wes/RP-1500/Exome/A4_Fuk/current/A4_Fuk.bam
42,A549,,gs://ccle_bams/rna/G16640/A549/current/A549.bam,gs://ccle_bams/rna/G29750/A549/v2/A549.bam,gs://ccle_bams/wes/G16393/A549/v3/A549.bam,,,,
43,ABC-1,,,gs://ccle_bams/wes/G32831/ABC-1/v2/ABC-1.bam,,,,,
44,ACC-MESO-1,,gs://ccle_bams/rna/C1926/ACC-MESO-1/current/ACC-MESO-1.bam,gs://ccle_bams/rna/G29750/ACC-MESO-1/v2/ACC-MESO-1.bam,,,,,
45,ACHN,,gs://ccle_bams/rna/G29750/ACHN/v1/ACHN.bam,gs://ccle_bams/rna/G32831/ACHN/v2/ACHN.bam,,,,,gs://ccle_bams/wes/G16640/ACHN/current/ACHN.bam
46,AGS,,gs://ccle_bams/rna/G29750/AGS/v1/AGS.bam,gs://ccle_bams/rna/G16467/AGS/v2/AGS.bam,,,,,gs://ccle_bams/wes/G16640/AGS/current/AGS.bam
47,ALL-SIL,,gs://ccle_bams/wes/G16640/ALL-SIL/current/ALL-SIL.bam,,gs://ccle_bams/rna/G29750/ALL-SIL/v3/ALL-SIL.bam,,,,
48,AM-38,,gs://ccle_bams/wes/G29750/AM-38/v1/AM-38.bam,,,,,,gs://ccle_bams/wes/G16640/AM-38/current/AM-38.bam
49,AML-193,,gs://ccle_bams/rna/G16640/AML-193/current/AML-193.bam,,gs://ccle_bams/wes/Getz_IBM_CellLines_Exomes_19samples_02012018/C836/NA/AML-193/v3/AML-193.bam,,,,
50,AMO-1,,,gs://ccle_bams/rna/G29750/AMO-1/v2/AMO-1.bam,,,,,
51,AN3_CA,,gs://ccle_bams/rna/G16640/AN3_CA/current/AN3_CA.bam,gs://ccle_bams/rna/G32831/AN3_CA/v2/AN3_CA.bam,,gs://ccle_bams/wes/G29750/AN3_CA/v4/AN3_CA.bam,,,
52,ANGMCSS,,gs://ccle_bams/wes/ANGMCSS.bam,,,,,,gs://ccle_bams/rna/G141708/ANGMCSS/current/ANGMCSS.bam
53,ASH3,,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_8samples_013119/RP-1561/RNA/ASH3/v1/ASH3.bam,,,,,,gs://ccle_bams/wes/ASH3/current/ASH3.bam
54,AU565,,,gs://ccle_bams/rna/G29750/AU565/v2/AU565.bam,,,,,
55,AsPC-1,,gs://ccle_bams/wes/G16640/AsPC-1/current/AsPC-1.bam,gs://ccle_bams/wes/G29750/AsPC-1/v2/AsPC-1.bam,,,,,
56,B-CPAP,,gs://ccle_bams/wes/G29750/B-CPAP/v1/B-CPAP.bam,,,,,,gs://ccle_bams/wes/G16640/B-CPAP/current/B-CPAP.bam
57,BC-3C,,gs://ccle_bams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/BC-3C/v1/BC-3C.bam,gs://ccle_bams/wes/G29750/BC-3C/v2/BC-3C.bam,,,,,
58,BCP-1,,gs://ccle_bams/wes/G29750/BCP-1/v1/BCP-1.bam,,,,,,gs://ccle_bams/rna/G16640/BCP-1/current/BCP-1.bam
59,BDCM,,gs://ccle_bams/wes/G29750/BDCM/v1/BDCM.bam,,,,,,gs://ccle_bams/rna/G16640/BDCM/current/BDCM.bam
60,BEN,,gs://ccle_bams/rna/G29750/BEN/v1/BEN.bam,,,,,,gs://ccle_bams/wes/G16640/BEN/current/BEN.bam
61,BFTC-905,,gs://ccle_bams/rna/G16640/BFTC-905/current/BFTC-905.bam,gs://ccle_bams/rna/G29750/BFTC-905/v2/BFTC-905.bam,,,,,
62,BFTC-909,,gs://ccle_bams/rna/G16640/BFTC-909/current/BFTC-909.bam,gs://ccle_bams/wes/G29750/BFTC-909/v2/BFTC-909.bam,,,gs://ccle_bams/wes/G32831/BFTC-909/v5/BFTC-909.bam,,
63,BHT-101,,gs://ccle_bams/rna/G16640/BHT-101/current/BHT-101.bam,gs://ccle_bams/rna/G29750/BHT-101/v2/BHT-101.bam,,,,,
64,BHY,,gs://ccle_bams/wes/G16640/BHY/current/BHY.bam,gs://ccle_bams/wes/G29750/BHY/v2/BHY.bam,,,,,
65,BICR78,,gs://ccle_bams/rna/G141708/BICR78/current/BICR78.bam,,,,,,
66,BICR_16,,gs://ccle_bams/rna/G16640/BICR_16/current/BICR_16.bam,,gs://ccle_bams/rna/G29750/BICR_16/v3/BICR_16.bam,,,,
67,BICR_18,,gs://ccle_bams/rna/G29750/BICR_18/v1/BICR_18.bam,,,,,,
68,BICR_22,,,gs://ccle_bams/rna/G29750/BICR_22/v2/BICR_22.bam,,,,,
69,BICR_31,,gs://ccle_bams/wes/G16640/BICR_31/current/BICR_31.bam,,gs://ccle_bams/rna/G29750/BICR_31/v3/BICR_31.bam,,,,
70,BICR_56,,gs://ccle_bams/rna/G16640/BICR_56/current/BICR_56.bam,gs://ccle_bams/rna/G29750/BICR_56/v2/BICR_56.bam,,,,,
71,BICR_6,,gs://ccle_bams/wes/G16640/BICR_6/current/BICR_6.bam,gs://ccle_bams/wes/G29750/BICR_6/v2/BICR_6.bam,,,,,
72,BICR_78_1,,gs://ccle_bams/wes/RP-1561/Exome/BICR_78_1/current/BICR_78_1.bam,,,,,,
73,BIN-67_1,,gs://ccle_bams/wes/G100662/BIN-67_1/current/BIN-67_1.bam,,,,,,
74,BIN-67_2,,,gs://ccle_bams/wes/RP-1211/Exome/BIN-67_2/v2/BIN-67_2.bam,,,,,
75,BI_2.03_T1,,gs://ccle_bams/rna/G88215/BI_2.03_T1/current/BI_2.03_T1.bam,,,,,,
76,BL-41,,gs://ccle_bams/wes/G16640/BL-41/current/BL-41.bam,,gs://ccle_bams/wes/G29750/BL-41/v3/BL-41.bam,,,,
77,BL-70,,gs://ccle_bams/rna/G16640/BL-70/current/BL-70.bam,gs://ccle_bams/rna/G29750/BL-70/v2/BL-70.bam,,,,,
78,BLUE1,,gs://ccle_bams/wes/RP-1561/Exome/BLUE1/v1/BLUE1.bam,,,,,,
79,BOKU,,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_8samples_013119/RP-1561/RNA/BOKU/v1/BOKU.bam,,,,,,gs://ccle_bams/wes/BOKU/current/BOKU.bam
80,BPH1,,gs://ccle_bams/wes/Getz_IBM_CellLine_WES_April2019/RP-1561/Exome/BPH1/v1/BPH1.bam,,,,,,
81,BT-12,,gs://ccle_bams/rna/G41805/BT-12/current/BT-12.bam,,,,,,
82,BT-16,,gs://ccle_bams/rna/G106825/BT-16/current/BT-16.bam,,,,,,
83,BT-20,,gs://ccle_bams/rna/G29750/BT-20/v1/BT-20.bam,,,,,,
84,BT-474,,gs://ccle_bams/rna/G32831/BT-474/v1/BT-474.bam,,gs://ccle_bams/rna/G29750/BT-474/v3/BT-474.bam,,,,gs://ccle_bams/rna/G16640/BT-474/current/BT-474.bam
85,BT-483,,gs://ccle_bams/wes/G29750/BT-483/v1/BT-483.bam,,,,,,gs://ccle_bams/wes/G16640/BT-483/current/BT-483.bam
86,BT-549,,gs://ccle_bams/wes/G16640/BT-549/current/BT-549.bam,,gs://ccle_bams/wes/G29750/BT-549/v3/BT-549.bam,,,,
87,BT12,,gs://ccle_bams/wes/RP-1211/Exome/BT12/v1/BT12.bam,,,,,,
88,BT16,,gs://ccle_bams/wes/RP-1211/Exome/BT16/v1/BT16.bam,,,,,,
89,BV-173,,gs://ccle_bams/rna/G29750/BV-173/v1/BV-173.bam,,,,,,gs://ccle_bams/wes/G16640/BV-173/current/BV-173.bam
90,Becker,,gs://ccle_bams/rna/DepMap_CellLine_RNAseq_Aug2019/RP-1561/RNA/Becker/v1/Becker.bam,gs://ccle_bams/wes/G29750/Becker/v2/Becker.bam,,,,,
91,BxPC-3,,gs://ccle_bams/rna/G29750/BxPC-3/v1/BxPC-3.bam,,,,,,gs://ccle_bams/rna/G16640/BxPC-3/current/BxPC-3.bam
92,C-33_A,,gs://ccle_bams/wes/RP-1561/Exome/C-33_A/current/C-33_A.bam,,,,,,
93,C10_1,,gs://ccle_bams/wes/RP-1500/Exome/C10_1/current/C10_1.bam,,,gs://ccle_bams/wes/G134624/C10_1/v4/C10_1.bam,,,
94,C125PM_1,,gs://ccle_bams/wes/RP-1500/Exome/C125PM_1/current/C125PM_1.bam,,,gs://ccle_bams/rna/Getz_IBM_CellLines_RNASeqData_39sample_10262017/G134624/NA/C125PM_1/v4/C125PM_1.bam,,,
95,C2BBe1,,gs://ccle_bams/wes/G16390/C2BBe1/v1/C2BBe1.bam,gs://ccle_bams/wes/G29750/C2BBe1/v2/C2BBe1.bam,,,,,gs://ccle_bams/wes/G16640/C2BBe1/current/C2BBe1.bam
96,C32,,gs://ccle_bams/wes/C1926/C32/current/C32.bam,,gs://ccle_bams/wes/G29750/C32/v3/C32.bam,,,,
97,C33A,,gs://ccle_bams/wes/G141708/C33A/current/C33A.bam,,,,,,
98,C396,,gs://ccle_bams/wes/C396.bam,gs://ccle_bams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/C396/v2/C396.bam,,,,,
99,C4I,,gs://ccle_bams/rna/C4I/current/C4I.bam,gs://ccle_bams/rna/Getz_IBM_CellLines_Tru-seq_100M_Nov2018_Redo/RP-1500/RNA/C4I/v2/C4I.bam,,,,,
100,C4II,,gs://ccle_bams/wes/RP-1561/Exome/C4II/current/C4II.bam,gs://ccle_bams/rna/G146853/C4II/v2/C4II.bam,,,,,
101,C75_1,,gs://ccle_bams/wes/RP-1500/Exome/C75_1/current/C75_1.bam,,,gs://ccle_bams/wes/G134624/C75_1/v4/C75_1.bam,,,
102,C80_1,,gs://ccle_bams/wes/RP-1500/Exome/C80_1/current/C80_1.bam,,,gs://ccle_bams/wes/G134624/C80_1/v4/C80_1.bam,,,
103,C8166,,gs://ccle_bams/wes/RP-1211/Exome/C8166/v1/C8166.bam,,,,,,gs://ccle_bams/wes/G131709/C8166/current/C8166.bam
104,C835.HCC1143_BL.4,,gs://ccle_bams/wes/C835.HCC1143_BL.4.bam,,,,,,
105,C836.22Rv1.2,,gs://ccle_bams/wes/ccle.wes.gdc/C836.22Rv1.2.bam,,,,,,
106,C836.253J-BV.4,,gs://ccle_bams/wes/C836.253J-BV.4.bam,,,,,,
107,C836.253J.1,,gs://ccle_bams/wes/C836.253J.1.bam,,,,,,
108,C836.ACC-MESO-1.2,,gs://ccle_bams/wes/C836.ACC-MESO-1.2.bam,,,,,,
109,C836.ALL-SIL.1,,gs://ccle_bams/wes/ccle.wes.gdc/C836.ALL-SIL.1.bam,,,,,,
110,C836.AML-193.2,,gs://ccle_bams/wes/C836.AML-193.2.bam,,,,,,
111,C836.AMO-1.1,,gs://ccle_bams/wes/C836.AMO-1.1.bam,,,,,,
112,C836.BDCM.2,,gs://ccle_bams/wes/C836.BDCM.2.bam,,,,,,
113,C836.BICR_16.1,,gs://ccle_bams/wes/ccle.wes.gdc/C836.BICR_16.1.bam,,,,,,
114,C836.BICR_18.2,,gs://ccle_bams/wes/C836.BICR_18.2.bam,,,,,,
115,C836.BICR_31.1,,gs://ccle_bams/wes/C836.BICR_31.1.bam,,,,,,
116,C836.BICR_56.2,,gs://ccle_bams/wes/C836.BICR_56.2.bam,,,,,,
117,C836.BICR_6.1,,gs://ccle_bams/wes/C836.BICR_6.1.bam,,,,,,
118,C836.BL-41.2,,gs://ccle_bams/wes/C836.BL-41.2.bam,,,,,,
119,C836.BL-70.2,,gs://ccle_bams/wes/C836.BL-70.2.bam,,,,,,
120,C836.CADO-ES1.1,,gs://ccle_bams/wes/ccle.wes.gdc/C836.CADO-ES1.1.bam,,,,,,
121,C836.CCF-STTG1.2,,gs://ccle_bams/wes/ccle.wes.gdc/C836.CCF-STTG1.2.bam,,,,,,
122,C836.CI-1.2,,gs://ccle_bams/wes/C836.CI-1.2.bam,,,,,,
123,C836.CL-11.1,,gs://ccle_bams/wes/ccle.wes.gdc/C836.CL-11.1.bam,,,,,,
124,C836.CL-14.2,,gs://ccle_bams/wes/C836.CL-14.2.bam,,,,,,
125,C836.CL-40.1,,gs://ccle_bams/wes/C836.CL-40.1.bam,,,,,,
126,C836.CMK.1,,gs://ccle_bams/wes/C836.CMK.1.bam,,,,,,
127,C836.CML-T1.2,,gs://ccle_bams/wes/C836.CML-T1.2.bam,,,,,,
128,C836.COLO-783.2,,gs://ccle_bams/wes/C836.COLO-783.2.bam,,,,,,
129,C836.COLO_201.2,,gs://ccle_bams/wes/C836.COLO_201.2.bam,,,,,,
130,C836.COR-L24.1,,gs://ccle_bams/wes/C836.COR-L24.1.bam,,,,,,
131,C836.COR-L311.2,,gs://ccle_bams/wes/C836.COR-L311.2.bam,,,,,,
132,C836.COR-L95.1,,gs://ccle_bams/wes/C836.COR-L95.1.bam,,,,,,
133,C836.COV318.2,,gs://ccle_bams/wes/ccle.wes.gdc/C836.COV318.2.bam,,,,,,
134,C836.COV504.2,,gs://ccle_bams/wes/C836.COV504.2.bam,,,,,,
135,C836.Caki-2.2,,gs://ccle_bams/wes/ccle.wes.gdc/C836.Caki-2.2.bam,,,,,,
136,C836.Calu-1.2,,gs://ccle_bams/wes/ccle.wes.gdc/C836.Calu-1.2.bam,,,,,,
137,C836.Calu-3.2,,gs://ccle_bams/wes/C836.Calu-3.2.bam,,,,,,
138,C836.DMS_153.1,,gs://ccle_bams/wes/C836.DMS_153.1.bam,,,,,,
139,C836.DMS_454.1,,gs://ccle_bams/wes/C836.DMS_454.1.bam,,,,,,
140,C836.DMS_79.3,,gs://ccle_bams/wes/C836.DMS_79.3.bam,,,,,,
141,C836.DND-41.2,,gs://ccle_bams/wes/C836.DND-41.2.bam,,,,,,
142,C836.DOV13,,gs://ccle_bams/wes/C836.DOV13.bam,,,,,,
143,C836.DV-90.1,,gs://ccle_bams/wes/C836.DV-90.1.bam,,,,,,
144,C836.EFE-184.2,,gs://ccle_bams/wes/C836.EFE-184.2.bam,,,,,,
145,C836.EJM.1,,gs://ccle_bams/wes/C836.EJM.1.bam,,,,,,
146,C836.ESS-1.1,,gs://ccle_bams/wes/C836.ESS-1.1.bam,,,,,,
147,C836.F-36P.2,,gs://ccle_bams/wes/C836.F-36P.2.bam,,,,,,
148,C836.FTC-238.1,,gs://ccle_bams/wes/C836.FTC-238.1.bam,,,,,,
149,C836.GDM-1.2,,gs://ccle_bams/wes/C836.GDM-1.2.bam,,,,,,
150,C836.GOS-3.2,,gs://ccle_bams/wes/C836.GOS-3.2.bam,,,,,,
151,C836.GRANTA-519.2,,gs://ccle_bams/wes/C836.GRANTA-519.2.bam,,,,,,
152,C836.GSS.2,,gs://ccle_bams/wes/C836.GSS.2.bam,,,,,,
153,C836.GSU.2,,gs://ccle_bams/wes/C836.GSU.2.bam,,,,,,
154,C836.HCC-1438.4,,gs://ccle_bams/wes/C836.HCC-1438.4.bam,,,,,,
155,C836.HCC-366.2,,gs://ccle_bams/wes/C836.HCC-366.2.bam,,,,,,
156,C836.HCC-78.2,,gs://ccle_bams/wes/C836.HCC-78.2.bam,,,,,,
157,C836.HCC1143.2,,gs://ccle_bams/wes/C836.HCC1143.2.bam,,,,,,
158,C836.HCC1395.2,,gs://ccle_bams/wes/C836.HCC1395.2.bam,,,,,,
159,C836.HCC2935.2,,gs://ccle_bams/wes/C836.HCC2935.2.bam,,,,,,
160,C836.HCC4006.1,,gs://ccle_bams/wes/C836.HCC4006.1.bam,,,,,,
161,C836.HEC-108.1,,gs://ccle_bams/wes/C836.HEC-108.1.bam,,,,,,
162,C836.HEC-151.2,,gs://ccle_bams/wes/C836.HEC-151.2.bam,,,,,,
163,C836.HEC-251.2,,gs://ccle_bams/wes/C836.HEC-251.2.bam,,,,,,
164,C836.HEC-265.2,,gs://ccle_bams/wes/C836.HEC-265.2.bam,,,,,,
165,C836.HEC-50B.1,,gs://ccle_bams/wes/C836.HEC-50B.1.bam,,,,,,
166,C836.HEC-59.2,,gs://ccle_bams/wes/C836.HEC-59.2.bam,,,,,,
167,C836.HEC-6.2,,gs://ccle_bams/wes/C836.HEC-6.2.bam,,,,,,
168,C836.HLF-a.1,,gs://ccle_bams/wes/C836.HLF-a.1.bam,,,,,,
169,C836.HMC-1-8.2,,gs://ccle_bams/wes/C836.HMC-1-8.2.bam,,,,,,
170,C836.HPB-ALL.2,,gs://ccle_bams/wes/C836.HPB-ALL.2.bam,,,,,,
171,C836.HSC-4.2,,gs://ccle_bams/wes/C836.HSC-4.2.bam,,,,,,
172,C836.HT.2,,gs://ccle_bams/wes/C836.HT.2.bam,,,,,,
173,C836.HT55.2,,gs://ccle_bams/wes/C836.HT55.2.bam,,,,,,
174,C836.Hep_3B2.1-7.1,,gs://ccle_bams/wes/C836.Hep_3B2.1-7.1.bam,,,,,,
175,C836.Hey-A8.2,,gs://ccle_bams/wes/C836.Hey-A8.2.bam,,,,,,
176,C836.Hs_229.T.1,,gs://ccle_bams/wes/C836.Hs_229.T.1.bam,,,,,,
177,C836.Hs_255.T.2,,gs://ccle_bams/wes/C836.Hs_255.T.2.bam,,,,,,
178,C836.Hs_274.T.2,,gs://ccle_bams/wes/C836.Hs_274.T.2.bam,,,,,,
179,C836.Hs_281.T.1,,gs://ccle_bams/wes/C836.Hs_281.T.1.bam,,,,,,
180,C836.Hs_343.T.1,,gs://ccle_bams/wes/C836.Hs_343.T.1.bam,,,,,,
181,C836.Hs_578T.2,,gs://ccle_bams/wes/C836.Hs_578T.2.bam,,,,,,
182,C836.Hs_600.T.1,,gs://ccle_bams/wes/C836.Hs_600.T.1.bam,,,,,,
183,C836.Hs_604.T.2,,gs://ccle_bams/wes/C836.Hs_604.T.2.bam,,,,,,
184,C836.Hs_606.T.1,,gs://ccle_bams/wes/C836.Hs_606.T.1.bam,,,,,,
185,C836.Hs_611.T.2,,gs://ccle_bams/wes/C836.Hs_611.T.2.bam,,,,,,
186,C836.Hs_616.T.1,,gs://ccle_bams/wes/C836.Hs_616.T.1.bam,,,,,,
187,C836.Hs_675.T.1,,gs://ccle_bams/wes/C836.Hs_675.T.1.bam,,,,,,
188,C836.Hs_695T.1,,gs://ccle_bams/wes/C836.Hs_695T.1.bam,,,,,,
189,C836.Hs_729.2,,gs://ccle_bams/wes/C836.Hs_729.2.bam,,,,,,
190,C836.Hs_751.T.2,,gs://ccle_bams/wes/C836.Hs_751.T.2.bam,,,,,,
191,C836.Hs_766T.2,,gs://ccle_bams/wes/C836.Hs_766T.2.bam,,,,,,
192,C836.Hs_819.T.1,,gs://ccle_bams/wes/C836.Hs_819.T.1.bam,,,,,,
193,C836.Hs_834.T.2,,gs://ccle_bams/wes/C836.Hs_834.T.2.bam,,,,,,
194,C836.Hs_839.T.2,,gs://ccle_bams/wes/C836.Hs_839.T.2.bam,,,,,,
195,C836.Hs_840.T.1,,gs://ccle_bams/wes/C836.Hs_840.T.1.bam,,,,,,
196,C836.Hs_852.T.2,,gs://ccle_bams/wes/C836.Hs_852.T.2.bam,,,,,,
197,C836.Hs_863.T.1,,gs://ccle_bams/wes/C836.Hs_863.T.1.bam,,,,,,
198,C836.Hs_870.T.1,,gs://ccle_bams/wes/C836.Hs_870.T.1.bam,,,,,,
199,C836.Hs_888.T.2,,gs://ccle_bams/wes/C836.Hs_888.T.2.bam,,,,,,
200,C836.Hs_895.T.1,,gs://ccle_bams/wes/C836.Hs_895.T.1.bam,,,,,,
201,C836.Hs_936.T.2,,gs://ccle_bams/wes/C836.Hs_936.T.2.bam,,,,,,
202,C836.Hs_939.T.2,,gs://ccle_bams/wes/C836.Hs_939.T.2.bam,,,,,,
203,C836.Hs_940.T.2,,gs://ccle_bams/wes/C836.Hs_940.T.2.bam,,,,,,
204,C836.HuG1-N.2,,gs://ccle_bams/wes/C836.HuG1-N.2.bam,,,,,,
205,C836.HuH-6.2,,gs://ccle_bams/wes/C836.HuH-6.2.bam,,,,,,
206,C836.HuH28.2,,gs://ccle_bams/wes/C836.HuH28.2.bam,,,,,,
207,C836.IST-MES2.2,,gs://ccle_bams/wes/C836.IST-MES2.2.bam,,,,,,
208,C836.JHH-5.2,,gs://ccle_bams/wes/C836.JHH-5.2.bam,,,,,,
209,C836.JHOC-5.2,,gs://ccle_bams/wes/C836.JHOC-5.2.bam,,,,,,
210,C836.JHOS-2.2,,gs://ccle_bams/wes/C836.JHOS-2.2.bam,,,,,,
211,C836.JHOS-4.1,,gs://ccle_bams/wes/C836.JHOS-4.1.bam,,,,,,
212,C836.JHUEM-2.2,,gs://ccle_bams/wes/C836.JHUEM-2.2.bam,,,,,,
213,C836.JHUEM-3.1,,gs://ccle_bams/wes/C836.JHUEM-3.1.bam,,,,,,
214,C836.JHUEM-7.1,,gs://ccle_bams/wes/C836.JHUEM-7.1.bam,,,,,,
215,C836.JIMT-1.1,,gs://ccle_bams/wes/C836.JIMT-1.1.bam,,,,,,
216,C836.JJN-3.1,,gs://ccle_bams/wes/C836.JJN-3.1.bam,,,,,,
217,C836.JK-1.2,,gs://ccle_bams/wes/C836.JK-1.2.bam,,,,,,
