cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-0X3p49,ACH-001002,1,,,451LU,PT-zX8CSVsO,CVCL_6357,,gs://cclebams/wes/SANGER_451LU_NS.bam,gs://cclebams/wes/SANGER_451LU_NS.bai,,Male,,,lymph_node,Skin Cancer,melanoma,,skin,,,wes,,AGILENT,451Lu is a metastatic variant of WM164 dervied from selection in nude mice (PMID: 2156614).,SANGER,U,,,,9o0vxg==,,,,,,,,,,
CDS-y0y2ZX,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/wgs/G32831/59M/v1/59M.bam,gs://cclebams/wgs/G32831/59M/v1/59M.bai,,Female,,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,wgs,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,16/3/2013,,,,af4v9A==,,,,,,,,,,
CDS-vCTeqp,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/wes/59M.bam,gs://cclebams/wes/59M.bai,,Female,,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,wes,,ICE,CCLE line; High grade ovarian serous adenocarcinoma,DEPMAP,21/8/2018,,,,MOk9Jw==,,,,,,,,,,
CDS-QSTCil,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/hybrid_capture/59M_OVARY.bam,gs://cclebams/hybrid_capture/59M_OVARY.bai,,Female,,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,hybrid_capture,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,26/7/2010,,,,grzb9Q==,,,,,,,,,,
CDS-4RNpxd,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/RRBS/G29750/59M/v3/59M.bam,gs://cclebams/RRBS/G29750/59M/v3/59M.bai,,Female,,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,RRBS,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,22/6/2013,,,,yTScwQ==,,,,,,,,,,
CDS-2M7COz,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/rna/G27248.59M.1.bam,gs://cclebams/rna/G27248.59M.1.bai,,Female,,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,rna,,polyA,CCLE line; High grade ovarian serous adenocarcinoma,DEPMAP,14/1/2013,,,,YmhA0A==,,,,,,,,,,
CDS-34DDrm,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/hybrid_capture/647V_URINARY_TRACT.bam,gs://cclebams/hybrid_capture/647V_URINARY_TRACT.bai,,Male,,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,hybrid_capture,,,CCLE line,CCLE2,27/7/2010,,,,jPtc+g==,,,,,,,,,,
CDS-1PF2cc,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/RRBS/G29750/647-V/v2/647-V.bam,gs://cclebams/RRBS/G29750/647-V/v2/647-V.bai,,Male,,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,Ali2KA==,,,,,,,,,,
CDS-DPhyfl,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/raindance/G16640/647-V/current/647-V.bam,gs://cclebams/raindance/G16640/647-V/current/647-V.bai,,Male,,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,raindance,,,CCLE line,CCLE2,19/3/2012,,,,wsfHow==,,,,,,,,,,
CDS-ukX1XN,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/wes/SANGER_647V_URINARY_TRACT.bam,gs://cclebams/wes/SANGER_647V_URINARY_TRACT.bai,,Male,,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,wes,,AGILENT,CCLE line,SANGER,U,,,,bpXCzQ==,,,,,,,,,,
CDS-8rn52o,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/rna/G27234.647-V.1.bam,gs://cclebams/rna/G27234.647-V.1.bai,,Male,,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,rna,,polyA,CCLE line,DEPMAP,14/1/2013,,,,pzuz1Q==,,,,,,,,,,
CDS-zYtJbm,ACH-001794,1,,,93T449,PT-89PEkgjy,CVCL_U614,,gs://cclebams/wes/93T449.bam,gs://cclebams/wes/93T449.bai,,Female,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,wes,,ICE,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,25/8/2018,,,,qciZbg==,,,,,,,,,,
CDS-0QOXsy,ACH-001794,1,,,93T449,PT-89PEkgjy,CVCL_U614,,gs://cclebams/rna/RP-1561/RNA/93T449/current/93T449.bam,gs://cclebams/rna/RP-1561/RNA/93T449/current/93T449.bai,,Female,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,rna,,polyA,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,21/7/2018,,,,Nqlc9g==,,,,,,,,,,
CDS-9XPgHB,ACH-001794,2,,,93T449,PT-89PEkgjy,CVCL_U614,,gs://cclebams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/94T778/v1/94T778.bam,gs://cclebams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/94T778/v1/94T778.bai,,Female,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,wes,,ICE,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,7/1/2019,,,,jMp33Q==,,,,,,,,,,
CDS-wLk8ue,ACH-001795,2,,,93T449,PT-89PEkgjy,CVCL_U614,,gs://cclebams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/94T778/v3/94T778.bam,gs://cclebams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/94T778/v3/94T778.bai,,Female,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,rna,,polyA,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,2/2/2019,,,,/oFYNg==,,,,,,,,,,
CDS-nOvuUL,ACH-001999,1,,,9505BIK,PT-etg976hq,,,gs://cclebams/wes/9505BIK/current/9505BIK.bam,gs://cclebams/wes/9505BIK/current/9505BIK.bai,,Unknown,,,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,wes,,ICE,"Non-vendor: Human PDX; Received from Academic lab (Bardeesy, MGH) - established",DEPMAP,16/10/2018,,,,Awj4Ow==,,,,,,,,,,
CDS-pbFFmj,ACH-001999,1,,,9505BIK,PT-etg976hq,,,gs://cclebams/rna/9505BIK/current/9505BIK.bam,gs://cclebams/rna/9505BIK/current/9505BIK.bai,,Unknown,,,pancreas,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,rna,,polyA,"Non-vendor: Human PDX; Received from Academic lab (Bardeesy, MGH) - established",DEPMAP,18/10/2018,,,,wmxELw==,,,,,,,,,,
CDS-saPAgx,ACH-001796,1,,,95T1000,PT-3Z1LM6sU,CVCL_WU67,,gs://cclebams/rna/95T1000.bam,gs://cclebams/rna/95T1000.bai,,Unknown,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,rna,,polyA,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,5/9/2018,,,,TCa9/A==,,,,,,,,,,
CDS-nQIkC1,ACH-001796,1,,,95T1000,PT-3Z1LM6sU,CVCL_WU67,,gs://cclebams/wes/95T1000.bam,gs://cclebams/wes/95T1000.bai,,Unknown,,,soft_tissue,Liposarcoma,liposarcoma,WDLPS,soft_tissue,,,wes,,ICE,"confirmed MDM2 amplification; Received from Academic lab (Pedeutour, ?)",DEPMAP,21/8/2018,,,,x2muRA==,,,,,,,,,,
CDS-p51Grv,ACH-000283,1,,,A1207,PT-MxJgZ61W,CVCL_8481,,gs://cclebams/rna/G41775/A1207/current/A1207.bam,gs://cclebams/rna/G41775/A1207/current/A1207.bai,,Female,,,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,rna,,polyA,Received from Academic lab (Linda Chin),DEPMAP,1/9/2013,,,,Ccc09Q==,,,,,,,,,,
CDS-ahpa8q,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/raindance/G16640/A2780/current/A2780.bam,gs://cclebams/raindance/G16640/A2780/current/A2780.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,raindance,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,18/3/2012,,,,XcfnFQ==,,,,,,,,,,
CDS-pE6Ic7,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/hybrid_capture/A2780_OVARY.bam,gs://cclebams/hybrid_capture/A2780_OVARY.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,hybrid_capture,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,21/5/2010,,,,r6UEFQ==,,,,,,,,,,
CDS-JVrQlU,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/wes/SANGER_A2780_OVARY.bam,gs://cclebams/wes/SANGER_A2780_OVARY.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,wes,,AGILENT,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,SANGER,U,,,,ri1xIQ==,,,,,,,,,,
CDS-j4vWfH,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/rna/G41668.A2780.5.bam,gs://cclebams/rna/G41668.A2780.5.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,rna,,polyA,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,DEPMAP,22/8/2013,,,,vt40Lw==,,,,,,,,,,
CDS-XzrxVt,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/wgs/G16446/A2780/v1/A2780.bam,gs://cclebams/wgs/G16446/A2780/v1/A2780.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,wgs,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,9/1/2012,,,,ja4J6g==,,,,,,,,,,
CDS-WW2rcX,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/RRBS/G29750/A2780/v2/A2780.bam,gs://cclebams/RRBS/G29750/A2780/v2/A2780.bai,,Female,,,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,RRBS,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,6/4/2013,,,,M3gwLQ==,,,,,,,,,,
CDS-sAv3ba,ACH-002001,1,,,A375SKINCJ1,PT-vgbGzKls,,,gs://cclebams/wes/A375SKINCJ1.bam,gs://cclebams/wes/A375SKINCJ1.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,wes,,ICE,"drug resistance: Dab (10nM)+Tram (1nM); Received from Academic lab (Cory Johannessen, Broad)",DEPMAP,24/9/2018,,,,cutajQ==,,,,,,,,,,
CDS-eLK3y1,ACH-002001,1,,,A375SKINCJ1,PT-vgbGzKls,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ1/v1/A375SKINCJ1.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ1/v1/A375SKINCJ1.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,rna,,polyA,"drug resistance: Dab (10nM)+Tram (1nM); Received from Academic lab (Cory Johannessen, Broad)",IBM,3/10/2018,,,,F8Z/pg==,,,,,,,,,,
CDS-ti6DPy,ACH-002002,1,,,A375SKINCJ2,PT-vgbGzKls,,,gs://cclebams/wes/A375SKINCJ2.bam,gs://cclebams/wes/A375SKINCJ2.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,wes,,ICE,"drug resistance: SCH772984; Received from Academic lab (Cory Johannessen, Broad)",DEPMAP,24/9/2018,,,,pkBGqQ==,,,,,,,,,,
CDS-vZxiVy,ACH-002002,1,,,A375SKINCJ2,PT-vgbGzKls,,,gs://cclebams/rna/A375SKINCJ2.bam,gs://cclebams/rna/A375SKINCJ2.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,rna,,polyA,"drug resistance: SCH772984; Received from Academic lab (Cory Johannessen, Broad)",DEPMAP,3/10/2018,,,,CJYp6g==,,,,,,,,,,
CDS-HtCt16,ACH-002003,1,,,A375SKINCJ3,PT-vgbGzKls,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ3/v1/A375SKINCJ3.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_23samples_10312018/RP-1561/RNA/A375SKINCJ3/v1/A375SKINCJ3.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,rna,,polyA,"drug resistance: Dab (7.5nM)+Tram (0.75nM); Received from Academic lab (Cory Johannessen, Broad)",IBM,3/10/2018,,,,GrNbXQ==,,,,,,,,,,
CDS-Sv2lhj,ACH-002003,1,,,A375SKINCJ3,PT-vgbGzKls,,,gs://cclebams/wes/A375SKINCJ3.bam,gs://cclebams/wes/A375SKINCJ3.bai,,Unknown,,54.0,skin,Skin Cancer,melanoma,,skin,,,wes,,ICE,"drug resistance: Dab (7.5nM)+Tram (0.75nM); Received from Academic lab (Cory Johannessen, Broad)",DEPMAP,24/9/2018,,,,/fNbyA==,,,,,,,,,,
CDS-JnC7h0,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/hybrid_capture/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,hybrid_capture,,,CCLE line,CCLE2,22/7/2010,,,,U1r2XA==,,,,,,,,,,
CDS-p6bJhw,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/RRBS/G29750/A3_KAW/v3/A3_KAW.bam,gs://cclebams/RRBS/G29750/A3_KAW/v3/A3_KAW.bai,,Female,,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,RRBS,,,CCLE line,CCLE2,19/3/2013,,,,3K4/Gg==,,,,,,,,,,
CDS-8PVHMP,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/wes/SANGER_A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,wes,,AGILENT,CCLE line,SANGER,U,,,,Ciksvg==,,,,,,,,,,
CDS-K9VWSo,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/wgs/G32831/A3_KAW/v2/A3_KAW.bam,gs://cclebams/wgs/G32831/A3_KAW/v2/A3_KAW.bai,,Female,,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,wgs,,,CCLE line,CCLE2,20/3/2013,,,,drQ/4Q==,,,,,,,,,,
CDS-VZfkHy,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/rna/G27295.A3_KAW.1.bam,gs://cclebams/rna/G27295.A3_KAW.1.bai,,Female,,,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,rna,,polyA,CCLE line,DEPMAP,14/1/2013,,,,ukCaqg==,,,,,,,,,,
CDS-TQfoys,ACH-000757,2,,,A427,PT-TBlhvZtU,CVCL_1055,,gs://cclebams/wes/RP-1211/Exome/A427/current/A427.bam,gs://cclebams/wes/RP-1211/Exome/A427/current/A427.bai,,Male,,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,wes,,ICE,"Received from Academic lab (Meyerson, Broad) who received from DFCI",DEPMAP,23/7/2016,,,,5NE49A==,,,,,,,,,,
CDS-0pNzBU,ACH-000757,1,,,A427,PT-TBlhvZtU,CVCL_1055,,gs://cclebams/wes/SANGER_A427_LUNG.bam,gs://cclebams/wes/SANGER_A427_LUNG.bai,,Male,,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,wes,,AGILENT,"Received from Academic lab (Meyerson, Broad) who received from DFCI",SANGER,U,,,,jt5DCQ==,,,,,,,,,,
CDS-imcg9d,ACH-000757,1,,,A427,PT-TBlhvZtU,CVCL_1055,,gs://cclebams/rna/G41813/A427/current/A427.bam,gs://cclebams/rna/G41813/A427/current/A427.bai,,Male,,,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,rna,,polyA,"Received from Academic lab (Meyerson, Broad) who received from DFCI",DEPMAP,1/9/2013,,,,h9faOw==,,,,,,,,,,
CDS-EVq1fj,ACH-002389,1,,,ACN,PT-0iqzVctZ,CVCL_1068,,gs://cclebams/wes/SANGER_ACN.bam,gs://cclebams/wes/SANGER_ACN.bai,,Male,,,central_nervous_system,Neuroblastoma,Neuroblastoma,,peripheral_nervous_system,,,wes,,AGILENT,,SANGER,U,,,,NVoh0A==,,,,,,,,,,
CDS-GjKZ2U,ACH-002209,1,,,ALLPO,PT-vqIMAe9v,CVCL_1069,,gs://cclebams/wes/SANGER_ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,b_cell,blood,,,wes,,AGILENT,,SANGER,U,,,,EIPSSA==,,,,,,,,,,
CDS-9Wrj8G,ACH-002210,1,,,ARH77,PT-apxnn0BK,CVCL_1072,,gs://cclebams/wes/SANGER_ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Female,,,,Lymphoma,,b_cell_primary_effusion,lymphocyte,,,wes,,AGILENT,,SANGER,U,,,,CB9gFQ==,,,,,,,,,,
CDS-4o3BvH,ACH-002211,1,,,BALL1,PT-t2dwoeDn,CVCL_1075,,gs://cclebams/wes/SANGER_BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Male,,,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,b_cell,blood,,,wes,,AGILENT,,SANGER,U,,,,EGIcvA==,,,,,,,,,,
CDS-oblctg,ACH-002212,1,,,BB30HNC,PT-vcYmYnPL,CVCL_1076,,gs://cclebams/wes/SANGER_BB30HNC_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/wes/SANGER_BB30HNC_UPPER_AERODIGESTIVE_TRACT.bai,,Female,,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,wes,,AGILENT,,SANGER,U,,,,eD+vfg==,,,,,,,,,,
CDS-eehcTp,ACH-002342,1,,,BB30PBL_NORMAL,PT-vcYmYnPL,CVCL_VU86,,gs://cclebams/wes/SANGER_BB30PBL_MATCHED_NORMAL_TISSUE.bam,gs://cclebams/wes/SANGER_BB30PBL_MATCHED_NORMAL_TISSUE.bai,,Female,,,upper_aerodigestive_tract,normal,normal,oral,upper_aerodigestive,,,wes,,AGILENT,,SANGER,U,,,,B1adIg==,,,,,,,,,,
CDS-V3uUvY,ACH-002343,1,,,BB49EBV_NORMAL,PT-aaYsXSub,CVCL_VU51,,gs://cclebams/wes/SANGER_BB49EBV_MATCHED_NORMAL_TISSUE.bam,gs://cclebams/wes/SANGER_BB49EBV_MATCHED_NORMAL_TISSUE.bai,,Female,,,upper_aerodigestive_tract,normal,normal,oral,upper_aerodigestive,,,wes,,AGILENT,,SANGER,U,,,,j49mBg==,,,,,,,,,,
CDS-anFIUI,ACH-002213,1,,,BB49HNC,PT-aaYsXSub,CVCL_1077,,gs://cclebams/wes/SANGER_BB49HNC_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/wes/SANGER_BB49HNC_UPPER_AERODIGESTIVE_TRACT.bai,,Female,,,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,wes,,AGILENT,,SANGER,U,,,,FSSwtQ==,,,,,,,,,,
CDS-o00yvx,ACH-002344,1,,,BB65EBV_NORMAL,PT-HcZvWsym,CVCL_6F66,,gs://cclebams/wes/SANGER_BB65EBV_MATCHED_NORMAL_TISSUE.bam,gs://cclebams/wes/SANGER_BB65EBV_MATCHED_NORMAL_TISSUE.bai,,Male,,,kidney,normal,normal,,kidney,,,wes,,AGILENT,,SANGER,U,,,,/tQvRg==,,,,,,,,,,
CDS-ehLub1,ACH-002090,1,,,BB65RCC,PT-HcZvWsym,CVCL_1078,,gs://cclebams/wes/SANGER_BB65RCC_KIDNEY.bam,gs://cclebams/wes/SANGER_BB65RCC_KIDNEY.bai,,Male,,,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,wes,,AGILENT,,SANGER,U,,,,cBbqhQ==,,,,,,,,,,
CDS-00rz9N,ACH-002214,1,,,BC1,PT-brNGbSZB,CVCL_1079,,gs://cclebams/wes/SANGER_BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/wes/SANGER_BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,Unknown,,,abdomen,Lymphoma,non_hodgkin_lymphoma,b_cell_primary_effusion,lymphocyte,,,wes,,AGILENT,Sanger line,SANGER,U,,,,TuGUHw==,,,,,,,,,,
