Approved symbol	Previous symbol
ABR-AS1	
ABRA	
ABRACL	C6orf115
ABRAXAS1	CCDC98
ABRAXAS1	FAM175A
ABRAXAS2	KIAA0157
ABRAXAS2	FAM175B
ABT1	
ABT1P1	
ABTB1	
ABTB2	
ABTB3	BTBD11
ACAA1	
ACAA2	
ACAA2P1	
ACACA	ACAC
ACACA	ACC
ACACB	
ACAD	
ACAD8	
ACAD9	
ACAD9-DT	
ACAD10	
ACAD11	
ACADL	
ACADM	
ACADS	
ACADSB	
ACADVL	
ACAN	MSK16
ACAN	CSPG1
ACAN	AGC1
ACAP1	CENTB1
ACAP2	CENTB2
ACAP2-IT1	
ACAP3	CENTB5
ACAT1	ACAT
ACAT2	
ACBD3	GOLPH1
ACBD3	GOCAP1
ACBD3-AS1	
ACBD4	
ACBD5	
ACBD6	
ACBD7	
ACCS	
ACCSL	
ACD	
ACE	DCP1
ACE2	
ACE2-DT	
ACE3P	
ACER1	ASAH3
ACER2	ASAH3L
ACER2P1	
ACER3	PHCA
ACHE	YT
ACIN1	ACINUS
ACKR1	FY
ACKR1	DARC
ACKR2	CMKBR9
ACKR2	CCBP2
ACKR3	CMKOR1
ACKR3	CXCR7
ACKR4	CCRL1
ACKR4P1	CCRL1P
ACKR4P1	CCRL1P1
ACLS	
ACLY	
ACMG	
ACMSD	
ACNATP	BAATP1
ACO1	IREB1
ACO2	
ACOD1	IRG1
ACOT1	
ACOT2	
ACOT4	
ACOT6	C14orf42
ACOT7	
ACOT8	PTE1
ACOT9	
ACOT11	THEA
ACOT12	
ACOT13	THEM2
ACOX1	
ACOX2	
ACOX3	
ACOXL	
ACOXL-AS1	
ACP1	
ACP2	
ACP3	ACPP
ACP4	ACPT
ACP5	
ACP6	
ACP7	
ACR	
ACRBP	
ACRP1	
ACRV1	
ACSBG1	
ACSBG2	
ACSF2	
ACSF3	
ACSL1	FACL2
ACSL3	FACL3
ACSL3-AS1	
ACSL4	FACL4
ACSL4	MRX63
ACSL4	MRX68
ACSL5	FACL5
ACSL6	FACL6
ACSL6-AS1	
ACSM1	BUCS1
ACSM2A	ACSM2
ACSM2B	ACSM2
ACSM3	SAH
ACSM4	
ACSM5	
ACSM5P1	
ACSM6	C10orf129
ACSS1	ACAS2L
ACSS2	ACAS2
ACSS3	
ACTA1	ACTA
ACTA2	
ACTA2-AS1	
ACTB	
ACTBL2	
ACTBP1	
ACTBP2	
ACTBP3	
ACTBP4	
ACTBP5	
ACTBP6	
ACTBP7	
ACTBP8	
ACTBP9	
ACTBP10	
ACTBP11	
ACTBP12	ACTGP5
ACTBP14	
ACTBP15	
ACTC1	ACTC
ACTE1P	
ACTG1	ACTG
ACTG1	DFNA20
ACTG1	DFNA26
ACTG1P1	ACTGP1
ACTG1P1	ACT1GP1
ACTG1P2	ACTL2
ACTG1P2	ACTGP2
ACTG1P3	ACTGP3
ACTG1P4	ACTGP4
ACTG1P6	ACTGP6
ACTG1P7	ACTGP7
ACTG1P8	ACTGP8
ACTG1P9	ACTGP9
ACTG1P10	ACTL1
ACTG1P10	ACTGP10
ACTG1P11	
ACTG1P12	
ACTG1P13	
ACTG1P14	
ACTG1P15	
ACTG1P16	
ACTG1P17	
ACTG1P18	
ACTG1P19	
ACTG1P20	
ACTG1P21	
ACTG1P22	
ACTG1P23	
ACTG1P24	POTENP
ACTG1P25	
ACTG2	ACTL3
ACTG2	ACTA3
ACTL4	
ACTL5	
ACTL6A	
ACTL6B	ACTL6
ACTL7A	
ACTL7B	
ACTL8	
ACTL9	
ACTL10	C20orf134
ACTL11P	ACTBP13
ACTN1	
ACTN1-DT	C14orf84
ACTN1-DT	ACTN1-AS1
ACTN2	
ACTN3	
ACTN4	FSGS1
ACTN4P1	
ACTN4P2	
ACTP1	
ACTR1A	
ACTR1AP1	
ACTR1B	CTRN2
ACTR2	
ACTR3	
ACTR3-AS1	
ACTR3B	
ACTR3BP1	
ACTR3BP2	
ACTR3BP3	
ACTR3BP4	
ACTR3BP5	
ACTR3BP6	
ACTR3BP7	
ACTR3C	
ACTR3P1	
ACTR3P2	
ACTR3P3	
ACTR5	
ACTR6	
ACTR6P1	
ACTR8	
ACTR10	
ACTRT1	
ACTRT1P1	
ACTRT2	
ACTRT3	
ACVR1	ACVRLK2
ACVR1B	ACVRLK4
ACVR1C	
ACVR2A	ACVR2
ACVR2B	
ACVR2B-AS1	
ACVRL1	ACVRLK1
ACVRL1	ORW2
ACY1	
ACY3	
ACYP1	
ACYP2	
AD5	
ADA	
ADA2	IDGFL
ADA2	CECR1
ADAD1	
ADAD1P1	
ADAD1P2	
ADAD2	
ADAL	
ADAM1A	ADAM1
ADAM1B	
ADAM2	FTNB
ADAM3A	CYRN1
ADAM3B	CYRN2
ADAM5	ADAM5P
ADAM6	C14orf96
ADAM7	
ADAM7-AS1	
ADAM7-AS2	
ADAM8	
ADAM9	CORD9
ADAM10	
ADAM11	MDC
ADAM12	
ADAM12-OT1	
ADAM15	
ADAM17	TACE
ADAM18	
ADAM19	
ADAM20	
ADAM20P1	C14orf55
ADAM20P2	
ADAM20P3	
ADAM21	
ADAM21P1	ADAM21P
ADAM22	
ADAM23	
ADAM24P	
ADAM28	
ADAM29	
ADAM30	
ADAM32	
ADAM33	C20orf153
ADAMDEC1	
ADAMTS1	
ADAMTS2	
ADAMTS3	
ADAMTS4	
ADAMTS5	
ADAMTS6	
ADAMTS7	
ADAMTS7P1	ADAMTS7P2
ADAMTS7P3	
ADAMTS7P4	
ADAMTS8	
ADAMTS9	
ADAMTS9-AS1	
ADAMTS9-AS2	
ADAMTS10	
ADAMTS12	
ADAMTS13	C9orf8
ADAMTS14	
ADAMTS15	
ADAMTS16	
ADAMTS16-DT	
ADAMTS17	
ADAMTS18	ADAMTS21
ADAMTS19	
ADAMTS19-AS1	
ADAMTS20	
ADAMTSL1	C9orf94
ADAMTSL2	
ADAMTSL3	
ADAMTSL4	TSRC1
ADAMTSL4-AS1	C1orf138
ADAMTSL4-AS2	
ADAMTSL5	THSD6
ADAP1	CENTA1
ADAP2	CENTA2
ADAR	IFI4
ADAR	G1P1
ADARB1	
ADARB2	
ADARB2-AS1	C10orf109
ADARB2-AS1	NCRNA00168
ADAT1	
ADAT2	DEADC1
ADAT3	
ADCK1	
ADCK2	
ADCK5	
ADCP1	
ADCY1	DFNB44
ADCY2	
ADCY3	
ADCY4	
ADCY5	
ADCY6	
ADCY6-DT	
ADCY7	
ADCY8	ADCY3
ADCY9	
ADCY10	
ADCY10P1	
ADCYAP1	
ADCYAP1R1	
ADD1	
ADD2	
ADD3	ADDL
ADD3-AS1	
ADFN	
ADGB	C6orf103
ADGB-DT	
ADGRA1	GPR123
ADGRA1-AS1	GPR123-AS1
ADGRA2	GPR124
ADGRA3	GPR125
ADGRA3P1	
ADGRB1	BAI1
ADGRB2	BAI2
ADGRB3	BAI3
ADGRB3-DT	
ADGRD1	GPR133
ADGRD1-AS1	
ADGRD2	GPR144
ADGRE1	TM7LN3
ADGRE1	EMR1
ADGRE2	EMR2
ADGRE3	EMR3
ADGRE4P	GPR127
ADGRE4P	EMR4
ADGRE4P	EMR4P
ADGRE5	CD97
ADGRF1	GPR110
ADGRF2	GPR111
ADGRF3	GPR113
ADGRF4	GPR115
ADGRF5	GPR116
ADGRF5-AS1	
ADGRF5P1	GPR116P1
ADGRF5P2	GPR116P2
ADGRG1	GPR56
ADGRG2	GPR64
ADGRG3	GPR97
ADGRG4	GPR112
ADGRG5	GPR114
ADGRG6	GPR126
ADGRG7	GPR128
ADGRL1	LPHN1
ADGRL1-AS1	
ADGRL2	LPHH1
ADGRL2	LPHN2
ADGRL3	LPHN3
ADGRL3-AS1	LPHN3-AS1
ADGRL4	ELTD1
ADGRV1	USH2C
ADGRV1	MASS1
ADGRV1	GPR98
ADH1A	ADH1
ADH1B	ADH2
ADH1C	ADH3
ADH4	
ADH5	FDH
ADH5P1	
ADH5P2	
ADH5P3	
ADH5P4	ADH5B
ADH5P5	
ADH6	
ADH7	
ADHFE1	
ADI1	
ADI1P1	
ADI1P2	
ADI1P3	
ADIG	
ADIPOQ	ACDC
ADIPOQ-AS1	
ADIPOR1	
ADIPOR1P1	
ADIPOR1P2	
ADIPOR2	
ADIRF	C10orf116
ADIRF-AS1	
ADK	
ADM	
ADM-DT	
ADM2	
ADM5	C19orf76
ADNP	
ADNP-AS1	
ADNP2	ZNF508
ADO	C10orf22
ADORA1	
ADORA2A	ADORA2
ADORA2A-AS1	C22orf45
ADORA2B	
ADORA2BP1	ADORA2BP
ADORA2L1	ADORA2L
ADORA2L2	
ADORA3	
ADPGK	
ADPGK-AS1	
ADPRH	
ADPRHL1	
ADPRM	C17orf48
ADPRS	ADPRHL2
ADRA1A	ADRA1C
ADRA1B	
ADRA1D	
ADRA2A	ADRA2
ADRA2A	ADRA2R
ADRA2B	ADRA2L1
ADRA2B	ADRA2RL1
ADRA2C	ADRA2L2
ADRA2C	ADRA2RL2
ADRB1	ADRB1R
ADRB2	ADRB2R
ADRB3	
ADRM1	
ADSL	
ADSS1	ADSSL1
ADSS2	ADSS
ADT	
ADTRP	C6orf105
AEBP1	
AEBP2	
AEN	ISG20L1
AF8T	
AFA	
AFAP1	
AFAP1-AS1	AFAP1AS
AFAP1-AS1	AFAP1-AS
AFAP1L1	
AFAP1L2	KIAA1914
AFD1	
AFDN	MLLT4
AFDN-DT	C6orf124
AFDN-DT	MLLT4-AS1
AFDN-DT	AFDN-AS1
AFF1	PBM1
AFF1	MLLT2
AFF1-AS1	
AFF2	FMR2
AFF2-IT1	
AFF3	LAF4
AFF4	
AFF4-DT	
AFG1L	LACE1
AFG3L1P	AFG3
AFG3L1P	AFG3L1
AFG3L2	SCA28
AFG3L2P1	AFG3L2P
AFM	
AFMID	
AFP	HPAFP
AFTPH	
AFTPH-DT	
AGA	
AGA-DT	
AGAP1	CENTG2
AGAP1-IT1	
AGAP2	CENTG1
AGAP2-AS1	
AGAP3	CENTG3
AGAP4	CTGLF1
AGAP4	AGAP8
AGAP4	CTGLF5
AGAP5	CTGLF2
AGAP6	CTGLF3
AGAP7P	CTGLF4
AGAP7P	AGAP7
AGAP9	CTGLF6
AGAP10P	AGAP10
AGAP10P	CTGLF7
AGAP10P	CTGLF10P
AGAP11	
AGAP12P	CTGLF12P
AGAP13P	CTGLF9P
AGAP14P	CTGLF11P
AGAP14P	AGAP14
AGBL1	
AGBL1-AS1	
AGBL2	
AGBL3	
AGBL4	
AGBL4-AS1	
AGBL4-IT1	
AGBL5	
AGBL5-AS1	
AGBL5-IT1	
AGER	
AGFG1	HRB
AGFG2	HRBL
AGGF1	
AGGF1P1	
AGGF1P2	
AGGF1P3	
AGGF1P4	
AGGF1P5	
AGGF1P6	
AGGF1P7	
AGGF1P8	
AGGF1P9	
AGGF1P10	
AGK	MULK
AGK-DT	
AGKP1	
AGKP2	
AGL	
AGMAT	
AGMO	TMEM195
AGMX2	
AGO1	EIF2C1
AGO2	EIF2C2
AGO2	CASC7
AGO3	EIF2C3
AGO4	EIF2C4
AGPAT1	
AGPAT2	BSCL
AGPAT3	
AGPAT4	
AGPAT4-IT1	C6orf59
AGPAT4-IT1	NCRNA00241
AGPAT5	
AGPAT5P1	
AGPS	
AGR2	
AGR3	
AGRN	AGRIN
AGRP	
AGT	SERPINA8
AGTPBP1	
AGTR1	AGTR1B
AGTR2	
AGTRAP	
AGTRL2	
AGXT	SPAT
AGXT2	
AHCTF1	
AHCTF1P1	AHCTF1P
AHCY	
AHCYL1	
AHCYL2	
AHCYP1	
AHCYP2	
AHCYP3	
AHCYP4	
AHCYP5	
AHCYP6	
AHCYP7	
AHCYP8	
AHDC1	
AHI1	
AHI1-DT	C6orf217
AHI1-DT	NCRNA00271
AHI1-DT	LINC00271
AHNAK	
AHNAK2	C14orf78
AHR	
AHRR	AHH
AHRR	AHHR
AHSA1	C14orf3
AHSA2P	AHSA2
AHSG	
AHSP	ERAF
AIC	
AICDA	
AIDA	C1orf80
AIDAP1	
AIDAP2	
AIDAP3	
AIF1	
AIF1L	C9orf58
AIFM1	PDCD8
AIFM1	NAMSD
AIFM1	AUNX1
AIFM1P1	
AIFM2	AMID
AIFM3	
AIG1	
AIG1P1	
AIH3	
AIM2	
AIMP1	SCYE1
AIMP1P1	SCYE1P
AIMP1P2	
AIMP2	
AIP	
AIPL1	LCA4
AIRE	APECED
AIRN	
AIS1	
AIS2	
AIS3	
AJAP1	
AJM1	C9orf172
AJUBA	JUB
AJUBA-DT	
AK1	
AK2	
AK2P1	
AK2P2	
AK3	AK6
AK3	AK3L1
AK3P2	
AK3P3	
AK3P4	
AK3P5	
AK3P6	
AK4	AK3
AK4	AK3L1
AK4P1	AK3P1
AK4P2	
AK4P3	AK3L2
AK4P4	
AK4P5	
AK4P6	
AK5	
AK6	
AK6P1	
AK6P2	
AK7	
AK8	C9orf98
AK9	C6orf224
AK9	AKD2
AK9	C6orf199
AK9	AKD1
AKAIN1	C18orf42
AKAP1	PRKA1
AKAP1-DT	
AKAP2	PRKA2
AKAP3	
AKAP4	
AKAP5	
AKAP6	
AKAP7	
AKAP8	
AKAP8L	
AKAP8P1	
AKAP9	
AKAP10	
AKAP11	
AKAP11-IT1	
AKAP12	
AKAP13	LBC
AKAP13-AS1	
AKAP14	
AKAP17A	CXYorf3
AKAP17A	SFRS17A
AKAP17BP	AKAP16B
AKAP17BP	AKAP16BP
AKIP1	C11orf17
AKIRIN1	C1orf108
AKIRIN1P1	
AKIRIN1P2	
AKIRIN2	C6orf166
AKIRIN2-AS1	NCRNA00120
AKIRIN2P1	
AKNA	
AKNAD1	C1orf62
AKR1A1	
AKR1B1	ALDR1
AKR1B1P1	ALDRL1
AKR1B1P2	ALDRP
AKR1B1P3	ALDRL3
AKR1B1P4	ALDRL4
AKR1B1P5	AKR1B1P
AKR1B1P6	
AKR1B1P7	
AKR1B1P8	
AKR1B10	AKR1B11
AKR1B10P1	
AKR1B10P2	
AKR1B15	
AKR1C1	DDH1
AKR1C2	DDH2
AKR1C2	TDD
AKR1C3	HSD17B5
AKR1C4	CHDR
AKR1C5P	
AKR1C6P	
AKR1C7P	
AKR1C8	AKR1CL1
AKR1C8	AKR1C8P
AKR1D1	SRD5B1
AKR1D1P1	SRD5BP1
AKR1D1P1	AKR1D1P
AKR1E2	AKRDC1
AKR1E2	AKR1CL2
AKR7A2	
AKR7A2P1	
AKR7A2P2	
AKR7A3	
AKR7L	
AKT1	
AKT1S1	
AKT2	
AKT3	
AKT3-IT1	
AKTIP	FTS
ALAD	
ALAS1	ALAS3
ALAS1	ALAS
ALAS2	ASB
ALB	
ALCAM	
ALDH1A1	PUMB1
ALDH1A1	ALDH1
ALDH1A2	
ALDH1A2-AS1	
ALDH1A3	ALDH6
ALDH1A3-AS1	
ALDH1B1	ALDH5
ALDH1L1	FTHFD
ALDH1L1-AS1	
ALDH1L1-AS2	
ALDH1L2	
ALDH2	
ALDH3A1	ALDH3
ALDH3A2	SLS
ALDH3A2	ALDH10
ALDH3B1	ALDH7
ALDH3B2	ALDH8
ALDH4A1	ALDH4
ALDH5A1	
ALDH6A1	MMSDH
ALDH7A1	ATQ1
ALDH7A1P1	ATQL1
ALDH7A1P2	ATQL2
ALDH7A1P3	ATQL3
ALDH7A1P4	ATQL4
ALDH8A1	
ALDH9A1	ALDH7
ALDH9A1	ALDH4
ALDH9A1	ALDH9
ALDH16A1	
ALDH18A1	GSAS
ALDH18A1	PYCS
ALDH18A1	SPG9
ALDOA	
ALDOAP1	
ALDOAP2	
ALDOB	
ALDOC	
ALDRL2	
ALDRL5	
ALFN1	
ALG1	
ALG1L1P	ALG1L
ALG1L2	
ALG1L3P	
ALG1L5P	
ALG1L6P	
ALG1L7P	
ALG1L8P	
ALG1L9P	
ALG1L10P	
ALG1L11P	
ALG1L12P	
ALG1L13P	
ALG1L14P	
ALG1L15P	
ALG2	
ALG3	
ALG3P1	
ALG5	
ALG6	
ALG8	
ALG9	DIBD1
ALG9-IT1	
ALG10	
ALG10B	
ALG11	
ALG12	
ALG13	GLT28D1
ALG13	CXorf45
ALG13-AS1	
ALG14	
ALG14-AS1	
ALK	
ALKAL1	FAM150A
ALKAL2	FAM150B
ALKBH1	ALKBH
ALKBH2	
ALKBH3	
ALKBH3-AS1	
ALKBH4	
ALKBH5	OFOXD1
ALKBH6	
ALKBH7	SPATA11
ALKBH8	
ALLC	
ALMS1	
ALMS1-IT1	
ALMS1P1	ALMS1L
ALMS1P1	ALMS1P
ALOX5	
ALOX5AP	
ALOX12	
ALOX12-AS1	
ALOX12B	
ALOX12P1	ALOX12P
ALOX12P2	
ALOX15	
ALOX15B	
ALOX15P1	ALOX15P
ALOX15P2	
ALOXE3	
ALOXE3P1	
ALPG	ALPPL2
ALPI	
ALPK1	
ALPK2	
ALPK3	
ALPL	HOPS
ALPP	
ALPPL1	
ALPPP	
ALS2	ALS2CR6
ALS2CL	
ALS3	
ALS7	
ALX1	CART1
ALX3	FND
ALX4	PFM2
ALYREF	THOC4
AMACR	
AMBN	
AMBP	ITI
AMBP	ITIL
AMBRA1	
AMCN	
AMD1	
AMD1P1	
AMD1P2	AMD2
AMD1P2	AMD
AMD1P2	AMDP1
AMD1P3	
AMD1P4	
AMDHD1	
AMDHD2	
AMELX	AMG
AMELX	AIH1
AMELY	AMGL
AMER1	FAM123B
AMER2	FAM123A
AMER3	FAM123C
AMFR	
AMH	
AMHR2	
AMIGO1	
AMIGO2	
AMIGO3	
AMLCR2	
AMMECR1	
AMMECR1-IT1	
AMMECR1L	
AMMECR1LP1	
AMN	
AMN1	
AMOT	
AMOTL1	
AMOTL2	
AMPD1	
AMPD2	
AMPD3	
AMPH	
AMT	
AMTN	
AMY1A	AMY1
AMY1B	AMY1
AMY1C	AMY1
AMY2A	AMY2
AMY2B	AMY2
AMYP1	AMY2P
AMZ1	
AMZ2	
AMZ2P1	
AMZ2P2	
AMZ2P3	
ANAPC1	
ANAPC1P1	
ANAPC1P2	
ANAPC1P3	
ANAPC1P4	
ANAPC1P5	
ANAPC1P6	
ANAPC2	
ANAPC4	
ANAPC5	
ANAPC7	
ANAPC10	
ANAPC10P1	ANAPC10P
ANAPC11	
ANAPC13	
ANAPC15	C11orf51
ANAPC15P1	
ANAPC15P2	
ANAPC16	C10orf104
ANCR	
ANG	
ANGEL1	KIAA0759
ANGEL2	
ANGPT1	
ANGPT2	
ANGPT4	
ANGPTL1	ANGPT3
ANGPTL2	
ANGPTL3	ANGPT5
ANGPTL4	
ANGPTL5	
ANGPTL6	
ANGPTL7	
ANGPTL8	C19orf80
ANHX	
ANIB1	
ANIB2	
ANIB3	
ANIB4	
ANK1	ANK
ANK2	LQT4
ANK2-AS1	
ANK3	
ANK3-DT	
ANKAR	
ANKDD1A	
ANKDD1B	
ANKEF1	ANKRD5
ANKFN1	
ANKFY1	
ANKH	CCAL2
ANKH	CMDJ
ANKH-DT	
ANKHD1	
ANKHD1-DT	
ANKHD1-EIF4EBP3	
ANKIB1	
ANKK1	
ANKLE1	ANKRD41
ANKLE2	KIAA0692
ANKMY1	
ANKMY2	
ANKRA2	
ANKRD1	
ANKRD2	
ANKRD6	
ANKRD7	
ANKRD9	
ANKRD10	
ANKRD10-IT1	
ANKRD11	
ANKRD11P1	
ANKRD11P2	
ANKRD12	
ANKRD13A	ANKRD13
ANKRD13B	
ANKRD13C	
ANKRD13D	
ANKRD16	
ANKRD17	
ANKRD17-DT	
ANKRD18A	
ANKRD18B	
ANKRD18CP	
ANKRD18DP	
ANKRD18EP	
ANKRD19P	ANKRD19
ANKRD20A1	ANKRD20A
ANKRD20A2P	ANKRD20A2
ANKRD20A3P	ANKRD20A3
ANKRD20A4P	ANKRD20A4
ANKRD20A5P	ANKRD20A5
ANKRD20A6P	
ANKRD20A7P	
ANKRD20A8P	ANKRD20B
ANKRD20A9P	
ANKRD20A10P	ANKRD20A4P1
ANKRD20A11P	C21orf81
ANKRD20A12P	
ANKRD20A13P	
ANKRD20A14P	
ANKRD20A15P	
ANKRD20A16P	
ANKRD20A17P	
ANKRD20A18P	C21orf126
ANKRD20A19P	
ANKRD20A20P	CCDC29
ANKRD20A21P	
ANKRD22	
ANKRD23	
ANKRD24	
ANKRD26	THC2
ANKRD26P1	
ANKRD26P2	
ANKRD26P3	LINC00414
ANKRD26P4	
ANKRD27	
ANKRD28	
ANKRD29	
ANKRD30A	
ANKRD30B	
ANKRD30BL	NCRNA00164
ANKRD30BL	ANKRD30BP3
ANKRD30BP1	C21orf110
ANKRD30BP1	ANKRD30BP
ANKRD30BP2	C21orf99
ANKRD30BP3	
ANKRD31	
ANKRD33	C12orf7
ANKRD33B	
ANKRD33B-AS1	
ANKRD33B-IT1	
ANKRD34A	ANKRD34
ANKRD34B	
ANKRD34C	
ANKRD34C-AS1	
ANKRD35	
ANKRD36	
ANKRD36B	KIAA1641
ANKRD36BP1	ANKRD26L1
ANKRD36BP1	ANKRD36BL1
ANKRD36BP2	
ANKRD36C	
ANKRD36P1	
ANKRD37	
ANKRD39	
ANKRD40	
ANKRD40CL	C17orf73
ANKRD40CL	LINC00483
ANKRD42	
ANKRD42-DT	
ANKRD44	
ANKRD44-AS1	
ANKRD44-DT	
ANKRD44-IT1	
ANKRD45	
ANKRD46	
ANKRD49	
ANKRD49P1	
ANKRD49P2	
ANKRD49P3	
ANKRD49P4	
ANKRD50	
ANKRD52	
ANKRD53	
ANKRD54	
ANKRD54P1	
ANKRD55	
ANKRD60	C20orf86
ANKRD61	
ANKRD62	
ANKRD62P1	
ANKRD62P1-PARP4P3	
ANKRD63	
ANKRD65	
ANKRD65-AS1	
ANKRD66	
ANKS1A	ANKS1
ANKS1B	
ANKS3	
ANKS4B	
ANKS6	SAMD6
ANKS6	ANKRD14
ANKUB1	C3orf16
ANKZF1	
ANLN	
ANO1	ORAOV2
ANO1	TMEM16A
ANO1-AS1	
ANO2	C12orf3
ANO2	TMEM16B
ANO3	C11orf25
ANO3	TMEM16C
ANO3-AS1	
ANO4	TMEM16D
ANO5	TMEM16E
ANO5	LGMD2L
ANO6	TMEM16F
ANO7	PCANAP5
ANO7	TMEM16G
ANO7L1	TMEM16M
ANO7L1	C1orf224
ANO7L1	ANO7P1
ANO8	KIAA1623
ANO8	TMEM16H
ANO9	TP53I5
ANO9	TMEM16J
ANO10	TMEM16K
ANOP1	
ANOS1	KAL
ANOS1	ADMLX
ANOS1	KAL1
ANOS2P	ADMLY
ANOS2P	KALP
ANP32A	C15orf1
ANP32A-IT1	C15orf28
ANP32A-IT1	NCRNA00321
ANP32AP1	
ANP32B	
ANP32BP1	
ANP32BP2	
ANP32BP3	
ANP32C	
ANP32D	
ANP32E	
ANPEP	CD13
ANPEP	PEPN
ANTKMT	C16orf24
ANTKMT	FAM173A
ANTP2	
ANTP4	
ANTXR1	
ANTXR2	
ANTXRL	
ANTXRLP1	
ANXA1	ANX1
ANXA1	LPC1
ANXA2	ANX2
ANXA2	ANX2L4
ANXA2	CAL1H
ANXA2	LPC2D
ANXA2P1	LPC2A
ANXA2P1	ANX2P1
ANXA2P1	ANX2L1
ANXA2P2	ANX2P2
ANXA2P2	ANX2L2
ANXA2P2	LPC2B
ANXA2P3	ANX2P3
ANXA2P3	ANX2L3
ANXA2P3	LPC2C
ANXA2R	C5orf39
ANXA2R-AS1	
ANXA2R-OT1	
ANXA3	ANX3
ANXA4	ANX4
ANXA5	ENX2
ANXA5	ANX5
ANXA6	ANX6
ANXA7	ANX7
ANXA8	ANX8
ANXA8L1	ANXA8L2
ANXA9	ANX31
ANXA10	
ANXA11	ANX11
ANXA13	ANX13
AOAH	
AOAH-IT1	
AOC1	ABP1
AOC1	ABP
AOC2	
AOC3	
AOC4P	
AOPEP	C9orf3
AOX1	
AOX2P	AOX2
AOX3P	
AOX3P-AOX2P	
AP1AR	C4orf16
AP1AR-DT	
AP1B1	ADTB1
AP1B1	CLAPB2
AP1B1P1	ADTB1L1
AP1B1P2	ADTB1L2
