,stripped_cell_line_name,wes_bam,wes_bai,wgs_bam,wgs_bai,rna_bam,rna_bai,hybrid_capture_bam,hybrid_capture_bai,targeted_bam,targeted_bai,raindance_bam,raindance_bai
ACH-000550,,,,gs://cclebams/wgs/G16486/IGR-39/v1/IGR-39.bam,gs://cclebams/wgs/G16486/IGR-39/v1/IGR-39.bam.bai,gs://cclebams/rna/G35073/IGR-39/current/IGR-39.bam,gs://cclebams/rna/G35073/IGR-39/current/IGR-39.bai,gs://cclebams/hybrid_capture/IGR39_SKIN.bam,gs://cclebams/hybrid_capture/IGR39_SKIN.bai,,,gs://cclebams/raindance/G16640/IGR-39/current/IGR-39.bam,gs://cclebams/raindance/G16640/IGR-39/current/IGR-39.bai
ACH-000439,,gs://cclebams/wes/C836.ME-1.2.bam,gs://cclebams/wes/C836.ME-1.2.bai,,,gs://cclebams/rna/G28048.ME-1.1.bam,gs://cclebams/rna/G28048.ME-1.1.bai,gs://cclebams/hybrid_capture/ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000221,,,,,,gs://cclebams/rna/G27453.SNU-398.2.bam,gs://cclebams/rna/G27453.SNU-398.2.bai,gs://cclebams/hybrid_capture/SNU398_LIVER.bam,gs://cclebams/hybrid_capture/SNU398_LIVER.bai,,,gs://cclebams/raindance/G16640/SNU-398/current/SNU-398.bam,gs://cclebams/raindance/G16640/SNU-398/current/SNU-398.bai
ACH-000332,,,,,,gs://cclebams/rna/G30557.YAPC.1.bam,gs://cclebams/rna/G30557.YAPC.1.bai,gs://cclebams/hybrid_capture/YAPC_PANCREAS.bam,gs://cclebams/hybrid_capture/YAPC_PANCREAS.bai,,,,
ACH-001234,,,,,,,,gs://cclebams/hybrid_capture/VMRCLCP_LUNG.bam,gs://cclebams/hybrid_capture/VMRCLCP_LUNG.bai,,,,
ACH-000768,,,,gs://cclebams/wgs/G32831/MDA-MB-231/v2/MDA-MB-231.bam,gs://cclebams/wgs/G32831/MDA-MB-231/v2/MDA-MB-231.bai,gs://cclebams/rna/G28029.MDA-MB-231.1.bam,gs://cclebams/rna/G28029.MDA-MB-231.1.bai,gs://cclebams/hybrid_capture/MDAMB231_BREAST.bam,gs://cclebams/hybrid_capture/MDAMB231_BREAST.bai,,,gs://cclebams/raindance/G16640/MDA-MB-231/current/MDA-MB-231.bam,gs://cclebams/raindance/G16640/MDA-MB-231/current/MDA-MB-231.bai
ACH-000198,,,,gs://cclebams/wgs/G32831/EOL-1/v1/EOL-1.bam,gs://cclebams/wgs/G32831/EOL-1/v1/EOL-1.bai,gs://cclebams/rna/G27380.EOL-1.1.bam,gs://cclebams/rna/G27380.EOL-1.1.bai,gs://cclebams/hybrid_capture/EOL1CELL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/EOL1CELL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,,
ACH-000854,,,,,,gs://cclebams/rna/G41798.OCI-MY5-2.bam,gs://cclebams/rna/G41798.OCI-MY5-2.bai,,,,,,
ACH-000807,,gs://cclebams/wes/C836.SNU-738.2.bam,gs://cclebams/wes/C836.SNU-738.2.bai,,,gs://cclebams/rna/G27459.SNU-738.2.bam,gs://cclebams/rna/G27459.SNU-738.2.bai,gs://cclebams/hybrid_capture/SNU738_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/SNU738_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/G16640/SNU-738/current/SNU-738.bam,gs://cclebams/raindance/G16640/SNU-738/current/SNU-738.bai
ACH-000247,,,,gs://cclebams/wgs/G16468/OCUM-1/v1/OCUM-1.bam,gs://cclebams/wgs/G16468/OCUM-1/v1/OCUM-1.bai,gs://cclebams/rna/G27273/NA/OCUM-1/v1/OCUM-1.bam,gs://cclebams/rna/G27273/NA/OCUM-1/v1/OCUM-1.bai,gs://cclebams/hybrid_capture/OCUM1_STOMACH.bam,gs://cclebams/hybrid_capture/OCUM1_STOMACH.bai,,,gs://cclebams/raindance/G16640/OCUM-1/current/OCUM-1.bam,gs://cclebams/raindance/G16640/OCUM-1/current/OCUM-1.bai
ACH-000918,,,,,,gs://cclebams/rna/G28565.MOLT-16.1.bam,gs://cclebams/rna/G28565.MOLT-16.1.bai,gs://cclebams/hybrid_capture/MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MOLT-16/current/MOLT-16.bam,gs://cclebams/raindance/G16640/MOLT-16/current/MOLT-16.bai
ACH-000985,,,,gs://cclebams/wgs/G32831/LS411N/v1/LS411N.bam,gs://cclebams/wgs/G32831/LS411N/v1/LS411N.bai,gs://cclebams/rna/G26248.LS411N.2.bam,gs://cclebams/rna/G26248.LS411N.2.bai,gs://cclebams/hybrid_capture/LS411N_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/LS411N_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/LS411N/current/LS411N.bam,gs://cclebams/raindance/G16640/LS411N/current/LS411N.bai
ACH-000077,,gs://cclebams/wes/C836.MJ.2.bam,gs://cclebams/wes/C836.MJ.2.bai,,,gs://cclebams/rna/G28599.MJ.1.bam,gs://cclebams/rna/G28599.MJ.1.bai,gs://cclebams/hybrid_capture/MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MJ/current/MJ.bam,gs://cclebams/raindance/G16640/MJ/current/MJ.bai
ACH-000899,,gs://cclebams/wes/C836.WM-88.2.bam,gs://cclebams/wes/C836.WM-88.2.bai,,,gs://cclebams/rna/G30585.WM-88.1.bam,gs://cclebams/rna/G30585.WM-88.1.bai,gs://cclebams/hybrid_capture/WM88_SKIN.bam,gs://cclebams/hybrid_capture/WM88_SKIN.bai,,,gs://cclebams/raindance/G16640/WM-88/current/WM-88.bam,gs://cclebams/raindance/G16640/WM-88/current/WM-88.bai
ACH-000539,,,,,,gs://cclebams/rna/G28822.Hs_618.T.3.bam,gs://cclebams/rna/G28822.Hs_618.T.3.bai,gs://cclebams/hybrid_capture/HS618T_LUNG.bam,gs://cclebams/hybrid_capture/HS618T_LUNG.bai,gs://cclebams/targeted/C1926/Hs_618.T/current/Hs_618.T.bam,gs://cclebams/targeted/C1926/Hs_618.T/current/Hs_618.T.bai,gs://cclebams/raindance/G16640/Hs_618.T/current/Hs_618.T.bam,gs://cclebams/raindance/G16640/Hs_618.T/current/Hs_618.T.bai
ACH-000178,,gs://cclebams/wes/C836.Hs_766T.2.bam,gs://cclebams/wes/C836.Hs_766T.2.bai,,,gs://cclebams/rna/G26233.Hs_766T.2.bam,gs://cclebams/rna/G26233.Hs_766T.2.bai,gs://cclebams/hybrid_capture/HS766T_PANCREAS.bam,gs://cclebams/hybrid_capture/HS766T_PANCREAS.bai,,,gs://cclebams/raindance/G16640/Hs_766T/current/Hs_766T.bam,gs://cclebams/raindance/G16640/Hs_766T/current/Hs_766T.bai
ACH-000535,,,,,,gs://cclebams/rna/G26241.BxPC-3.2.bam,gs://cclebams/rna/G26241.BxPC-3.2.bai,gs://cclebams/hybrid_capture/BXPC3_PANCREAS.bam,gs://cclebams/hybrid_capture/BXPC3_PANCREAS.bai,,,gs://cclebams/raindance/G16640/BxPC-3/current/BxPC-3.bam,gs://cclebams/raindance/G16640/BxPC-3/current/BxPC-3.bai
ACH-000676,,,,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G41757/NA/LN-464/v1/LN-464.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G41757/NA/LN-464/v1/LN-464.bai,,,,,,
ACH-001190,,,,gs://cclebams/wgs/G32831/SK-MEL-2/v2/SK-MEL-2.bam,gs://cclebams/wgs/G32831/SK-MEL-2/v2/SK-MEL-2.bai,,,gs://cclebams/hybrid_capture/SKMEL2_SKIN.bam,gs://cclebams/hybrid_capture/SKMEL2_SKIN.bai,,,gs://cclebams/raindance/G16640/SK-MEL-2/current/SK-MEL-2.bam,gs://cclebams/raindance/G16640/SK-MEL-2/current/SK-MEL-2.bai
ACH-000549,,gs://cclebams/wes/C836.SNU-1076.2.bam,gs://cclebams/wes/C836.SNU-1076.2.bai,,,gs://cclebams/rna/G27522.SNU-1076.2.bam,gs://cclebams/rna/G27522.SNU-1076.2.bai,gs://cclebams/hybrid_capture/SNU1076_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/hybrid_capture/SNU1076_UPPER_AERODIGESTIVE_TRACT.bai,,,gs://cclebams/raindance/G16640/SNU-1076/current/SNU-1076.bam,gs://cclebams/raindance/G16640/SNU-1076/current/SNU-1076.bai
ACH-000362,,gs://cclebams/wes/C836.MOLM-13.2.bam,gs://cclebams/wes/C836.MOLM-13.2.bai,,,gs://cclebams/rna/G41692.MOLM-13.5.bam,gs://cclebams/rna/G41692.MOLM-13.5.bai,gs://cclebams/hybrid_capture/MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,gs://cclebams/targeted/C1926/MOLM-13/current/MOLM-13.bam,gs://cclebams/targeted/C1926/MOLM-13/current/MOLM-13.bai,gs://cclebams/raindance/G16640/MOLM-13/current/MOLM-13.bam,gs://cclebams/raindance/G16640/MOLM-13/current/MOLM-13.bai
ACH-000389,,,,gs://cclebams/wgs/G32831/H4/v2/H4.bam,gs://cclebams/wgs/G32831/H4/v2/H4.bai,gs://cclebams/rna/G27337.H4.1.bam,gs://cclebams/rna/G27337.H4.1.bai,gs://cclebams/hybrid_capture/H4_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/H4_CENTRAL_NERVOUS_SYSTEM.bai,,,,
ACH-000835,,,,,,gs://cclebams/rna/G27329.GCT.1.bam,gs://cclebams/rna/G27329.GCT.1.bai,gs://cclebams/hybrid_capture/GCT_SOFT_TISSUE.bam,gs://cclebams/hybrid_capture/GCT_SOFT_TISSUE.bai,,,gs://cclebams/raindance/G16640/GCT/current/GCT.bam,gs://cclebams/raindance/G16640/GCT/current/GCT.bai
ACH-000782,,gs://cclebams/wes/C836.SEM.2.bam,gs://cclebams/wes/C836.SEM.2.bai,,,gs://cclebams/rna/G27232.SEM.1.bam,gs://cclebams/rna/G27232.SEM.1.bai,gs://cclebams/hybrid_capture/SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/SEM/current/SEM.bam,gs://cclebams/raindance/G16640/SEM/current/SEM.bai
ACH-000260,,,,gs://cclebams/wgs/G32831/SK-N-AS/v3/SK-N-AS.bam,gs://cclebams/wgs/G32831/SK-N-AS/v3/SK-N-AS.bai,gs://cclebams/rna/G27457.SK-N-AS.2.bam,gs://cclebams/rna/G27457.SK-N-AS.2.bai,gs://cclebams/hybrid_capture/SKNAS_AUTONOMIC_GANGLIA.bam,gs://cclebams/hybrid_capture/SKNAS_AUTONOMIC_GANGLIA.bai,,,,
ACH-000852,,,,gs://cclebams/wgs/G32831/NCI-H1435/v1/NCI-H1435.bam,gs://cclebams/wgs/G32831/NCI-H1435/v1/NCI-H1435.bai,gs://cclebams/rna/G41740.NCI-H1435.5.bam,gs://cclebams/rna/G41740.NCI-H1435.5.bai,gs://cclebams/hybrid_capture/NCIH1435_LUNG.bam,gs://cclebams/hybrid_capture/NCIH1435_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H1435/current/NCI-H1435.bam,gs://cclebams/raindance/G16640/NCI-H1435/current/NCI-H1435.bai
ACH-000326,,gs://cclebams/wes/C836.JURL-MK1.2.bam,gs://cclebams/wes/C836.JURL-MK1.2.bai,,,gs://cclebams/rna/G28010.JURL-MK1.1.bam,gs://cclebams/rna/G28010.JURL-MK1.1.bai,gs://cclebams/hybrid_capture/JURL-MK1.bam,gs://cclebams/hybrid_capture/JURL-MK1.bai,,,gs://cclebams/raindance/G16640/JURL-MK1/current/JURL-MK1.bam,gs://cclebams/raindance/G16640/JURL-MK1/current/JURL-MK1.bai
ACH-000932,,,,gs://cclebams/wgs/G16448/SNU-1/v2/SNU-1.bam,gs://cclebams/wgs/G16448/SNU-1/v2/SNU-1.bai,gs://cclebams/rna/G41729.SNU-1.5.bam,gs://cclebams/rna/G41729.SNU-1.5.bai,gs://cclebams/hybrid_capture/SNU1_STOMACH.bam,gs://cclebams/hybrid_capture/SNU1_STOMACH.bai,,,gs://cclebams/raindance/G16640/SNU-1/current/SNU-1.bam,gs://cclebams/raindance/G16640/SNU-1/current/SNU-1.bai
ACH-000864,,,,,,gs://cclebams/rna/G27372.COLO_684.1.bam,gs://cclebams/rna/G27372.COLO_684.1.bai,gs://cclebams/hybrid_capture/COLO684_ENDOMETRIUM.bam,gs://cclebams/hybrid_capture/COLO684_ENDOMETRIUM.bai,,,gs://cclebams/raindance/G16640/COLO_684/current/COLO_684.bam,gs://cclebams/raindance/G16640/COLO_684/current/COLO_684.bai
ACH-000224,,gs://cclebams/wes/C836.Hs_819.T.1.bam,gs://cclebams/wes/C836.Hs_819.T.1.bai,,,gs://cclebams/rna/G28890.Hs_819.T.3.bam,gs://cclebams/rna/G28890.Hs_819.T.3.bai,gs://cclebams/hybrid_capture/HS819T_BONE.bam,gs://cclebams/hybrid_capture/HS819T_BONE.bai,,,,
ACH-000853,,,,gs://cclebams/wgs/G16385/NCI-H661/v2/NCI-H661.bam,gs://cclebams/wgs/G16385/NCI-H661/v2/NCI-H661.bai,gs://cclebams/rna/G25212.NCI-H661.1.bam,gs://cclebams/rna/G25212.NCI-H661.1.bai,gs://cclebams/hybrid_capture/NCIH661_LUNG.bam,gs://cclebams/hybrid_capture/NCIH661_LUNG.bai,,,gs://cclebams/raindance/G16640/NCI-H661/current/NCI-H661.bam,gs://cclebams/raindance/G16640/NCI-H661/current/NCI-H661.bai
ACH-000712,,,,gs://cclebams/wgs/G32831/HCC-1833/v2/HCC-1833.bam,gs://cclebams/wgs/G32831/HCC-1833/v2/HCC-1833.bai,gs://cclebams/rna/G27306.HCC-1833.1.bam,gs://cclebams/rna/G27306.HCC-1833.1.bai,gs://cclebams/hybrid_capture/HCC-1833.merged.bam,gs://cclebams/hybrid_capture/HCC-1833.merged.bai,gs://cclebams/targeted/C1926/HCC-1833/current/HCC-1833.bam,gs://cclebams/targeted/C1926/HCC-1833/current/HCC-1833.bai,gs://cclebams/raindance/G16640/HCC-1833/current/HCC-1833.bam,gs://cclebams/raindance/G16640/HCC-1833/current/HCC-1833.bai
ACH-000516,,,,,,gs://cclebams/rna/G30615.CAL-78.1.bam,gs://cclebams/rna/G30615.CAL-78.1.bai,gs://cclebams/hybrid_capture/CAL78_BONE.bam,gs://cclebams/hybrid_capture/CAL78_BONE.bai,,,,
ACH-000757,,,,,,gs://cclebams/rna/G41813/A427/current/A427.bam,gs://cclebams/rna/G41813/A427/current/A427.bai,,,,,,
ACH-000006,,,,,,gs://cclebams/rna/G26207.MONO-MAC-6.2.bam,gs://cclebams/rna/G26207.MONO-MAC-6.2.bai,gs://cclebams/hybrid_capture/MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MONO-MAC-6/current/MONO-MAC-6.bam,gs://cclebams/raindance/G16640/MONO-MAC-6/current/MONO-MAC-6.bai
ACH-000143,,,,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G41812/NA/HCC2429/v1/HCC2429.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G41812/NA/HCC2429/v1/HCC2429.bai,,,,,,
ACH-000413,,,,,,gs://cclebams/rna/G28899.Hs_739.T.3.bam,gs://cclebams/rna/G28899.Hs_739.T.3.bai,gs://cclebams/hybrid_capture/HS739T_BREAST.bam,gs://cclebams/hybrid_capture/HS739T_BREAST.bai,,,,
ACH-000713,,,,gs://cclebams/wgs/G32831/Caov-3/v2/Caov-3.bam,gs://cclebams/wgs/G32831/Caov-3/v2/Caov-3.bai,gs://cclebams/rna/G26242.Caov-3.2.bam,gs://cclebams/rna/G26242.Caov-3.2.bai,gs://cclebams/hybrid_capture/CAOV3_OVARY.bam,gs://cclebams/hybrid_capture/CAOV3_OVARY.bai,,,gs://cclebams/raindance/G16640/Caov-3/current/Caov-3.bam,gs://cclebams/raindance/G16640/Caov-3/current/Caov-3.bai
ACH-000930,,,,gs://cclebams/wgs/G32831/HCC1569/v1/HCC1569.bam,gs://cclebams/wgs/G32831/HCC1569/v1/HCC1569.bai,gs://cclebams/rna/G27370.HCC1569.1.bam,gs://cclebams/rna/G27370.HCC1569.1.bai,gs://cclebams/hybrid_capture/HCC1569_BREAST.bam,gs://cclebams/hybrid_capture/HCC1569_BREAST.bai,,,,
ACH-000274,,gs://cclebams/wes/C836.Hs_852.T.2.bam,gs://cclebams/wes/C836.Hs_852.T.2.bai,,,gs://cclebams/rna/G28885.Hs_852.T.3.bam,gs://cclebams/rna/G28885.Hs_852.T.3.bai,gs://cclebams/hybrid_capture/HS852T_SKIN.bam,gs://cclebams/hybrid_capture/HS852T_SKIN.bai,,,gs://cclebams/raindance/G16640/Hs_852.T/current/Hs_852.T.bam,gs://cclebams/raindance/G16640/Hs_852.T/current/Hs_852.T.bai
ACH-000009,,,,gs://cclebams/wgs/G16390/C2BBe1/v1/C2BBe1.bam,gs://cclebams/wgs/G16390/C2BBe1/v1/C2BBe1.bai,gs://cclebams/rna/G20463.C2BBe1.2.bam,gs://cclebams/rna/G20463.C2BBe1.2.bai,gs://cclebams/hybrid_capture/C2BBE1_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/C2BBE1_LARGE_INTESTINE.bai,,,gs://cclebams/raindance/G16640/C2BBe1/current/C2BBe1.bam,gs://cclebams/raindance/G16640/C2BBe1/current/C2BBe1.bai
ACH-000500,,gs://cclebams/wes/C836.SNU-46.1.bam,gs://cclebams/wes/C836.SNU-46.1.bam.bai,,,gs://cclebams/rna/G35069.SNU-46.bam,gs://cclebams/rna/G35069.SNU-46.bai,gs://cclebams/hybrid_capture/SNU46_UPPER_AERODIGESTIVE_TRACT.bam,gs://cclebams/hybrid_capture/SNU46_UPPER_AERODIGESTIVE_TRACT.bai,gs://cclebams/targeted/C1926/SNU-46/current/SNU-46.bam,gs://cclebams/targeted/C1926/SNU-46/current/SNU-46.bai,gs://cclebams/raindance/G16640/SNU-46/current/SNU-46.bam,gs://cclebams/raindance/G16640/SNU-46/current/SNU-46.bai
ACH-001207,,,,,,gs://cclebams/rna/G41786/TIG3-TD/current/TIG3-TD.bam,gs://cclebams/rna/G41786/TIG3-TD/current/TIG3-TD.bai,,,,,,
ACH-000422,,,,gs://cclebams/wgs/G16372/SNU-475/v1/SNU-475.bam,gs://cclebams/wgs/G16372/SNU-475/v1/SNU-475.bai,gs://cclebams/rna/G27212.SNU-475.1.bam,gs://cclebams/rna/G27212.SNU-475.1.bai,gs://cclebams/hybrid_capture/SNU475_LIVER.bam,gs://cclebams/hybrid_capture/SNU475_LIVER.bai,,,gs://cclebams/raindance/G16640/SNU-475/current/SNU-475.bam,gs://cclebams/raindance/G16640/SNU-475/current/SNU-475.bai
ACH-000596,,,,,,gs://cclebams/rna/G28041.LCLC-97TM1.1.bam,gs://cclebams/rna/G28041.LCLC-97TM1.1.bai,gs://cclebams/hybrid_capture/LCLC97TM1_LUNG.bam,gs://cclebams/hybrid_capture/LCLC97TM1_LUNG.bai,gs://cclebams/targeted/C1926/LCLC-97TM1/current/LCLC-97TM1.bam,gs://cclebams/targeted/C1926/LCLC-97TM1/current/LCLC-97TM1.bai,gs://cclebams/raindance/G16640/LCLC-97TM1/current/LCLC-97TM1.bam,gs://cclebams/raindance/G16640/LCLC-97TM1/current/LCLC-97TM1.bai
ACH-000397,,gs://cclebams/wes/C836.TEN.1.bam,gs://cclebams/wes/C836.TEN.1.bai,,,gs://cclebams/rna/G41713.TEN.5.bam,gs://cclebams/rna/G41713.TEN.5.bai,gs://cclebams/hybrid_capture/TEN.merged.bam,gs://cclebams/hybrid_capture/TEN.merged.bai,,,gs://cclebams/raindance/G16640/TEN/current/TEN.bam,gs://cclebams/raindance/G16640/TEN/current/TEN.bai
ACH-000450,,,,,,gs://cclebams/rna/G28062.MEL-HO.1.bam,gs://cclebams/rna/G28062.MEL-HO.1.bai,gs://cclebams/hybrid_capture/MELHO_SKIN.bam,gs://cclebams/hybrid_capture/MELHO_SKIN.bai,,,gs://cclebams/raindance/G16640/MEL-HO/current/MEL-HO.bam,gs://cclebams/raindance/G16640/MEL-HO/current/MEL-HO.bai
ACH-000321,,gs://cclebams/wes/C836.MOLM-6.2.bam,gs://cclebams/wes/C836.MOLM-6.2.bai,,,gs://cclebams/rna/G28544.MOLM-6.1.bam,gs://cclebams/rna/G28544.MOLM-6.1.bai,gs://cclebams/hybrid_capture/MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/MOLM-6/current/MOLM-6.bam,gs://cclebams/raindance/G16640/MOLM-6/current/MOLM-6.bai
ACH-000204,,gs://cclebams/wes/C836.LP-1.2.bam,gs://cclebams/wes/C836.LP-1.2.bai,,,gs://cclebams/rna/G26193.LP-1.2.bam,gs://cclebams/rna/G26193.LP-1.2.bai,gs://cclebams/hybrid_capture/LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/LP-1/current/LP-1.bam,gs://cclebams/raindance/G16640/LP-1/current/LP-1.bai
ACH-000052,,,,,,gs://cclebams/rna/G26212.A-673.2.bam,gs://cclebams/rna/G26212.A-673.2.bai,gs://cclebams/hybrid_capture/A673_BONE.bam,gs://cclebams/hybrid_capture/A673_BONE.bai,gs://cclebams/targeted/C1926/A-673/current/A-673.bam,gs://cclebams/targeted/C1926/A-673/current/A-673.bai,gs://cclebams/raindance/G16640/A-673/current/A-673.bam,gs://cclebams/raindance/G16640/A-673/current/A-673.bai
