,cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2,size
21,CDS-ajFFmI,ACH-000008,1,,,A101D,PT-iDKi9wZz,CVCL_1057,,gs://cclebams/RRBS/G29750/A101D/v1/A101D.bam,gs://cclebams/RRBS/G29750/A101D/v1/A101D.bai,,Male,,56.0,skin,Skin Cancer,melanoma,,skin,,,RRBS,,,,CCLE2,3/5/2013,,,,Wo3I2Q==,,,,,,,,,,,2172666195
22,CDS-qly4h2,ACH-000558,1,,,A172,PT-xO4ZNPAD,CVCL_0131,,gs://cclebams/RRBS/G29750/A172/v1/A172.bam,gs://cclebams/RRBS/G29750/A172/v1/A172.bai,,Male,,53.0,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,RRBS,,,CCLE line; glioblastoma_multiforme,CCLE2,14/5/2013,,,,LON2ig==,,,,,,,,,,,1831140989
23,CDS-qRbDHP,ACH-000788,1,,,A2058,PT-wYRJPP5u,CVCL_1059,,gs://cclebams/RRBS/G29750/A2058/v2/A2058.bam,gs://cclebams/RRBS/G29750/A2058/v2/A2058.bai,,Male,,43.0,lymph_node,Skin Cancer,melanoma,,skin,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,+3SeIg==,,,,,,,,,,,1743191386
24,CDS-WW2rcX,ACH-000657,1,,,A2780,PT-bRcL4ndg,CVCL_0134,,gs://cclebams/RRBS/G29750/A2780/v2/A2780.bam,gs://cclebams/RRBS/G29750/A2780/v2/A2780.bai,,Female,,U,ovary,Ovarian Cancer,ovary_adenocarcinoma,endometrioid,ovary,,,RRBS,,,CCLE line; Ovarian endometrioid adenocarcinoma; A2780ADR &amp; A2780cis are drug resistant clones of A2780.,CCLE2,6/4/2013,,,,M3gwLQ==,,,,,,,,,,,1669146997
25,CDS-p6bJhw,ACH-000697,1,,,A3KAW,PT-yogL5oHQ,CVCL_1062,,gs://cclebams/RRBS/G29750/A3_KAW/v3/A3_KAW.bam,gs://cclebams/RRBS/G29750/A3_KAW/v3/A3_KAW.bai,,Female,,68,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,RRBS,,,CCLE line,CCLE2,19/3/2013,,,,3K4/Gg==,,,,,,,,,,,2888048538
26,CDS-CHemZF,ACH-000157,1,,,A4FUK,PT-VkImNBYI,CVCL_1064,,gs://cclebams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bam,gs://cclebams/RRBS/G29750/A4_Fuk/v2/A4_Fuk.bai,,Female,,52.0,ascites,Lymphoma,non_hodgkin_lymphoma,DLBCL,lymphocyte,,,RRBS,,,CCLE line,CCLE2,2/5/2013,,,,xsxebQ==,,,,,,,,,,,1821975701
27,CDS-QxcUWf,ACH-000681,1,,,A549,PT-nQfdBG4E,CVCL_0023,,gs://cclebams/RRBS/G29750/A549/v2/A549.bam,gs://cclebams/RRBS/G29750/A549/v2/A549.bai,,Male,,52.0,lung,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,RRBS,,,CCLE line,CCLE2,5/4/2013,,,,qoC9Fg==,,,,,,,,,,,3348573212
28,CDS-mPerNx,ACH-000528,1,,,ABC1,PT-zREWW5fc,CVCL_1066,,gs://cclebams/RRBS/G29750/ABC-1/v2/ABC-1.bam,gs://cclebams/RRBS/G29750/ABC-1/v2/ABC-1.bai,,Male,,47.0,pleural_effusion,Lung Cancer,NSCLC,NSCLC_adenocarcinoma,lung,,,RRBS,,,CCLE line,CCLE2,2/5/2013,,,,huo6uQ==,,,,,,,,,,,1851057473
29,CDS-IrJz16,ACH-000086,1,,,ACCMESO1,PT-Oc0UMzD7,CVCL_5113,,gs://cclebams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bam,gs://cclebams/RRBS/G29750/ACC-MESO-1/v2/ACC-MESO-1.bai,,Female,,61.0,pleura,Lung Cancer,mesothelioma,,lung,,,RRBS,,,CCLE line,CCLE2,2/4/2013,,,,lZDR7A==,,,,,,,,,,,1806880326
30,CDS-FTCurv,ACH-000046,1,,,ACHN,PT-SiRqERtt,CVCL_1067,,gs://cclebams/RRBS/G29750/ACHN/v1/ACHN.bam,gs://cclebams/RRBS/G29750/ACHN/v1/ACHN.bai,,Male,,22.0,pleural_effusion,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,hauG4g==,,,,,,,,,,,1390326526
31,CDS-witifk,ACH-000880,1,,,AGS,PT-AUgNDeB5,CVCL_0139,,gs://cclebams/RRBS/G29750/AGS/v1/AGS.bam,gs://cclebams/RRBS/G29750/AGS/v1/AGS.bai,,Female,,54.0,stomach,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,RRBS,,,CCLE line,CCLE2,2/6/2013,,,,NopiWQ==,,,,,,,,,,,1458796270
32,CDS-m15I58,ACH-000105,1,,,ALLSIL,PT-MRv86YiR,CVCL_1805,,gs://cclebams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bam,gs://cclebams/RRBS/G29750/ALL-SIL/v3/ALL-SIL.bai,,Male,,17.0,haematopoietic_and_lymphoid_tissue,Leukemia,ALL,t_cell,blood,,,RRBS,,,CCLE line,CCLE2,7/3/2013,,,,+FlZfQ==,,,,,,,,,,,2234788019
33,CDS-SO0M2v,ACH-000269,1,,,AM38,PT-L9VR06Ke,CVCL_1070,,gs://cclebams/RRBS/G29750/AM-38/v1/AM-38.bam,gs://cclebams/RRBS/G29750/AM-38/v1/AM-38.bai,,Male,,36.0,central_nervous_system,Brain Cancer,glioma,glioblastoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,QPaHkw==,,,,,,,,,,,1795464693
34,CDS-0AZmsv,ACH-000557,1,,,AML193,PT-eInj6zqa,CVCL_1071,,gs://cclebams/RRBS/G29750/AML-193/v3/AML-193.bam,gs://cclebams/RRBS/G29750/AML-193/v3/AML-193.bai,,Female,,13.0,haematopoietic_and_lymphoid_tissue,Leukemia,AML,M5,blood,,,RRBS,,,CCLE line; M5; SFPQ-ZFP36L1; p53 mut; NRAS mut,CCLE2,7/3/2013,,,,uf4CTw==,,,,,,,,,,,2754969016
35,CDS-Vvwi9V,ACH-000838,1,,,AMO1,PT-I58F1P8Z,CVCL_1806,,gs://cclebams/RRBS/G29750/AMO-1/v2/AMO-1.bam,gs://cclebams/RRBS/G29750/AMO-1/v2/AMO-1.bai,,Female,,64.0,ascites,Myeloma,multiple_myeloma,plasmacytoma,plasma_cell,,,RRBS,,,CCLE line,CCLE2,2/4/2013,,,,4+Wwgg==,,,,,,,,,,,1220092149
36,CDS-b5yPmx,ACH-000940,1,,,AN3CA,PT-cgPxAzcg,CVCL_0028,,gs://cclebams/RRBS/G29750/AN3_CA/v4/AN3_CA.bam,gs://cclebams/RRBS/G29750/AN3_CA/v4/AN3_CA.bai,,Female,,55.0,endometrium,Endometrial/Uterine Cancer,endometrial_adenocarcinoma,,uterus,,,RRBS,,,CCLE line,CCLE2,5/6/2013,,,,FK6tMQ==,,,,,,,,,,,2700074180
37,CDS-M3jdLW,ACH-000248,1,,,AU565,PT-ptT1s1d6,CVCL_1074,,gs://cclebams/RRBS/G29750/AU565/v2/AU565.bam,gs://cclebams/RRBS/G29750/AU565/v2/AU565.bai,,Female,,43.0,pleural_effusion,Breast Cancer,breast_adenocarcinoma,ERneg_HER2pos,breast,,,RRBS,,,CCLE line; luminal; HER2Amp; The AU565 &amp; SK-BR-3 cell lines were established from the same patient (ATCC).,CCLE2,1/5/2013,,,,MwDb2A==,,,,,,,,,,,1063994644
38,CDS-FotH6A,ACH-000222,1,,,ASPC1,PT-MTjzFHD6,CVCL_0152,,gs://cclebams/RRBS/G29750/AsPC-1/v2/AsPC-1.bam,gs://cclebams/RRBS/G29750/AsPC-1/v2/AsPC-1.bai,,Female,,62.0,ascites,Pancreatic Cancer,exocrine,exocrine_adenocarcinoma,pancreas,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,ivCjeQ==,,,,,,,,,,,1448887995
39,CDS-YKWVum,ACH-000456,1,,,BCPAP,PT-cUiYJ5nV,CVCL_0153,,gs://cclebams/RRBS/G29750/B-CPAP/v1/B-CPAP.bam,gs://cclebams/RRBS/G29750/B-CPAP/v1/B-CPAP.bai,,Female,,76.0,thyroid,Thyroid Cancer,thyroid_carcinoma,papillary,thyroid,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,qmWMbA==,,,,,,,,,,,1871520958
40,CDS-zg6YbR,ACH-000593,1,,,BC3C,PT-i2HrmbyN,CVCL_1958,,gs://cclebams/RRBS/G29750/BC-3C/v2/BC-3C.bam,gs://cclebams/RRBS/G29750/BC-3C/v2/BC-3C.bai,,Female,,82.0,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,Fs3Q0g==,,,,,,,,,,,1729342268
41,CDS-003Hul,ACH-000923,1,,,BCP1,PT-OBzumMkm,CVCL_0107,,gs://cclebams/RRBS/G29750/BCP-1/v1/BCP-1.bam,gs://cclebams/RRBS/G29750/BCP-1/v1/BCP-1.bai,,Male,,92.0,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell,lymphocyte,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,r56m5g==,,,,,,,,,,,1875044418
42,CDS-VsqV1R,ACH-000080,1,,,BDCM,PT-Z4410ezk,CVCL_4613,,gs://cclebams/RRBS/G29750/BDCM/v1/BDCM.bam,gs://cclebams/RRBS/G29750/BDCM/v1/BDCM.bai,,Male,,U,haematopoietic_and_lymphoid_tissue,Leukemia,AML,M5,blood,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,lR5iKw==,,,,,,,,,,,1487325467
43,CDS-qXX0Oj,ACH-000603,1,,,BEN,PT-oeQdhz7f,CVCL_1082,,gs://cclebams/RRBS/G29750/BEN/v1/BEN.bam,gs://cclebams/RRBS/G29750/BEN/v1/BEN.bai,,Male,,71.0,lymph_node,Lung Cancer,NSCLC,,lung,,,RRBS,,,CCLE line,CCLE2,14/5/2013,,,,KIXU6w==,,,,,,,,,,,1952915946
44,CDS-HDW8FD,ACH-000802,1,,,BFTC905,PT-KTcR2tiv,CVCL_1083,,gs://cclebams/RRBS/G29750/BFTC-905/v2/BFTC-905.bam,gs://cclebams/RRBS/G29750/BFTC-905/v2/BFTC-905.bai,,Female,,51.0,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,ptJb8Q==,,,,,,,,,,,1376509153
45,CDS-m8UUS7,ACH-000792,1,,,BFTC909,PT-l3YxiXJ0,CVCL_1084,,gs://cclebams/RRBS/G29750/BFTC-909/v2/BFTC-909.bam,gs://cclebams/RRBS/G29750/BFTC-909/v2/BFTC-909.bai,,Male,,64.0,kidney,Kidney Cancer,renal_cell_carcinoma,transitional_cell,kidney,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,DoEj1g==,,,,,,,,,,,1582270055
46,CDS-ao3C99,ACH-000191,1,,,BHT101,PT-kVrztcRn,CVCL_1085,,gs://cclebams/RRBS/G29750/BHT-101/v2/BHT-101.bam,gs://cclebams/RRBS/G29750/BHT-101/v2/BHT-101.bai,,Female,,63.0,lymph_node,Thyroid Cancer,thyroid_carcinoma,papillary,thyroid,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,h+L6CA==,,,,,,,,,,,2099100276
47,CDS-1aT0QG,ACH-000548,1,,,BHY,PT-DzmNirHg,CVCL_1086,,gs://cclebams/RRBS/G29750/BHY/v2/BHY.bam,gs://cclebams/RRBS/G29750/BHY/v2/BHY.bai,,Male,,52.0,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,zbqxkQ==,,,,,,,,,,,2466136412
48,CDS-Zs5Bbz,ACH-000503,1,,,BICR16,PT-POh8mDu0,CVCL_2308,,gs://cclebams/RRBS/G29750/BICR_16/v3/BICR_16.bam,gs://cclebams/RRBS/G29750/BICR_16/v3/BICR_16.bai,,Male,,U,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,17/3/2013,,,,hSggFA==,,,,,,,,,,,1753805034
49,CDS-hHFuUY,ACH-000992,1,,,BICR18,PT-Wxij6QdZ,CVCL_2309,,gs://cclebams/RRBS/G29750/BICR_18/v1/BICR_18.bam,gs://cclebams/RRBS/G29750/BICR_18/v1/BICR_18.bai,,Male,,U,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,2/6/2013,,,,DX13gg==,,,,,,,,,,,1597055657
50,CDS-72TICN,ACH-000794,1,,,BICR22,PT-iXzLHiO2,CVCL_2310,,gs://cclebams/RRBS/G29750/BICR_22/v2/BICR_22.bam,gs://cclebams/RRBS/G29750/BICR_22/v2/BICR_22.bai,,Male,,88,lymph_node,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,POy/Gw==,,,,,,,,,,,1799346522
51,CDS-voPZj8,ACH-000228,1,,,BICR31,PT-gshyqQzR,CVCL_2312,,gs://cclebams/RRBS/G29750/BICR_31/v3/BICR_31.bam,gs://cclebams/RRBS/G29750/BICR_31/v3/BICR_31.bai,,Male,,U,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,kpnL6A==,,,,,,,,,,,2114285456
52,CDS-inOUl9,ACH-000771,1,,,BICR56,PT-NjvSuFlD,CVCL_2313,,gs://cclebams/RRBS/G29750/BICR_56/v2/BICR_56.bam,gs://cclebams/RRBS/G29750/BICR_56/v2/BICR_56.bai,,Female,,U,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,22/4/2013,,,,PttEmg==,,,,,,,,,,,1725961730
53,CDS-edRxl0,ACH-000415,1,,,BICR6,PT-eONpyIln,CVCL_2314,,gs://cclebams/RRBS/G29750/BICR_6/v2/BICR_6.bam,gs://cclebams/RRBS/G29750/BICR_6/v2/BICR_6.bai,,Male,,U,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,oral,upper_aerodigestive,,,RRBS,,,CCLE line,CCLE2,27/3/2013,,,,r267Zg==,,,,,,,,,,,1662030996
54,CDS-DLqCuZ,ACH-000245,1,,,BL41,PT-QYRnYmk3,CVCL_1087,,gs://cclebams/RRBS/G29750/BL-41/v3/BL-41.bam,gs://cclebams/RRBS/G29750/BL-41/v3/BL-41.bai,,Male,,8.0,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,,,RRBS,,,CCLE line,CCLE2,17/3/2013,,,,Hfq9Jg==,,,,,,,,,,,3262421894
55,CDS-7q5m0q,ACH-000402,1,,,BL70,PT-1V2o25rk,CVCL_1088,,gs://cclebams/RRBS/G29750/BL-70/v2/BL-70.bam,gs://cclebams/RRBS/G29750/BL-70/v2/BL-70.bai,,Male,,16.0,haematopoietic_and_lymphoid_tissue,Lymphoma,non_hodgkin_lymphoma,b_cell_burkitt,lymphocyte,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,ZjkQ4w==,,,,,,,,,,,2283562243
56,CDS-VR6dBb,ACH-000536,1,,,BT20,PT-k9G5Hq6D,CVCL_0178,,gs://cclebams/RRBS/G29750/BT-20/v1/BT-20.bam,gs://cclebams/RRBS/G29750/BT-20/v1/BT-20.bai,,Female,,74.0,breast,Breast Cancer,breast_ductal_carcinoma,ERneg_HER2neg,breast,,,RRBS,,,CCLE line; basal; TNBC,CCLE2,24/4/2013,,,,Y8aCdA==,,,,,,,,,,,2373930870
57,CDS-3dX6MY,ACH-000927,1,,,BT474,PT-iQWEIGT8,CVCL_0179,,gs://cclebams/RRBS/G29750/BT-474/v3/BT-474.bam,gs://cclebams/RRBS/G29750/BT-474/v3/BT-474.bai,,Female,,60.0,breast,Breast Cancer,breast_ductal_carcinoma,ERpos_HER2pos,breast,,,RRBS,,,CCLE line; HER2Amp/ERpos; luminal,CCLE2,3/6/2013,,,,qKJIBQ==,,,,,,,,,,,2260152068
58,CDS-dP0Zcp,ACH-000818,1,,,BT483,PT-1E3fpdA3,CVCL_2319,,gs://cclebams/RRBS/G29750/BT-483/v1/BT-483.bam,gs://cclebams/RRBS/G29750/BT-483/v1/BT-483.bai,,Female,,23.0,breast,Breast Cancer,breast_ductal_carcinoma,ERpos_HER2neg,breast,,,RRBS,,,CCLE line; HER2Amp/Erpos; luminal,CCLE2,1/5/2013,,,,2Yg8YQ==,,,,,,,,,,,1608463523
59,CDS-PV4Uil,ACH-000288,1,,,BT549,PT-X1TwNJLv,CVCL_1092,,gs://cclebams/RRBS/G29750/BT-549/v3/BT-549.bam,gs://cclebams/RRBS/G29750/BT-549/v3/BT-549.bai,,Female,,72.0,breast,Breast Cancer,breast_ductal_carcinoma,ERneg_HER2neg,breast,,,RRBS,,,CCLE line; basal; TNBC,CCLE2,10/6/2013,,,,Qiglcg==,,,,,,,,,,,1420922510
60,CDS-OaGUnR,ACH-000432,1,,,BV173,PT-QQLO0mxT,CVCL_0181,,gs://cclebams/RRBS/G29750/BV-173/v1/BV-173.bam,gs://cclebams/RRBS/G29750/BV-173/v1/BV-173.bai,,Male,,45.0,haematopoietic_and_lymphoid_tissue,Leukemia,CML,blast_crisis,blood,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,5VnYsg==,,,,,,,,,,,1730967461
