Adult/Pediatric,Alias,CCLE Name,CCLF Age,CCLF Gender,CDDB Registration Id,COSMIC.ID,Cell Line Name,Comments,Date Created,Date Last Modified,ELN Pages,MTA Terms,Original Source,Part of Genentech Project (Y/N),Part of PRISM,Part of Project Drive,Past CCLE names,Primary Disease,Primary Hist,Primary/Metastasis,Program,Projects,PubID,RRID,Sample Collection Site,Sanger Model ID,Sharing Terms,Stripped Cell Line Name,Subtype,User Created,User Last Modified,WTSI Master Cell ID,arxspan_id,depmap_disease,depmap_disease_subtype,depmap_molecular_subtype,depmap_public_comments,depmap_tissue
Adult,,253J_URINARY_TRACT,53,Male,CDDB:000008,,253J,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,09/23/2015 12:51:15 PM,11/20/2019 04:58:18 PM,[{'ACH-000011-00': []}],,KCLB,,P500,,,Bladder Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_7935,lymph_node,,,253J,Carcinoma,Arxspan Support,Emily Chambers,,ACH-000011,bladder_carcinoma,,,,urinary_tract
Adult,,HCC827_LUNG,39,Female,CDDB:000340,1240146,HCC827,CCLE line,09/23/2015 12:51:16 PM,11/20/2019 04:55:20 PM,[{'ACH-000012-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_2063,lung,SIDM01067,,HCC827,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,354,ACH-000012,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,ONCODG1_OVARY,60,Female,CDDB:000898,,ONCO-DG-1,CCLE line; High grade ovarian serous adenocarcinoma; Identical lines: NIH:OVCAR-3 and ONCO-DG-1 share high SNP identity. Likely to be NIH:OVCAR-3,09/23/2015 12:51:17 PM,11/20/2019 04:56:51 PM,[{'ACH-000013-00': []}],-1,DSMZ,-1,P500,-1,,Ovarian Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1882,ascites,SIDM00093,,ONCODG1,"Adenocarcinoma, high grade serous",Arxspan Support,Emily Chambers,,ACH-000013,ovary_adenocarcinoma,high_grade_serous,,,ovary
Adult,"A101D, Hs 294.T",HS294T_SKIN,56,Male,CDDB:000395,,Hs 294T,CCLE line; Isolated from the same donor tissue as A101D,09/23/2015 12:51:18 PM,11/20/2019 04:55:20 PM,[{'ACH-000014-00': []}],-1,ATCC,-1,P500,-1,,Skin Cancer,-1,Metastasis,CCLE,[],,CVCL_0331,lymph_node,SIDM00800,,HS294T,Melanoma,Arxspan Support,Emily Chambers,,ACH-000014,melanoma,,,,skin
Adult,NCI-H2077,NCIH1581_LUNG,44,Male,CDDB:155425,908471,NCI-H1581,CCLE line,09/23/2015 12:51:18 PM,11/20/2019 04:55:20 PM,[{'ACH-000015-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_1479,lung,SIDM00748,,NCIH1581,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",Arxspan Support,Emily Chambers,1237,ACH-000015,NSCLC,NSCLC_large_cell,,,lung
Adult,,SLR21_KIDNEY,,Unknown,CDDB:001065,,SLR 21,"Received from Academic lab (Bill Kaelin, DFCI)",09/23/2015 12:51:19 PM,11/21/2019 11:49:06 AM,[{'ACH-000016-00': []}],,Academic lab,,,,,Kidney Cancer,carcinoma,Metastasis,Appendix,[],,CVCL_V607,kidney,,,SLR21,Renal Cell Carcinoma,Arxspan Support,Emily Chambers,,ACH-000016,renal_cell_carcinoma,,,,kidney
Adult,,SKBR3_BREAST,43,Female,CDDB:001033,,SK-BR-3,CCLE line; HER2AMP; The AU565 &amp; SK-BR-3 cell lines were established from the same patient (ATCC).; luminal,09/23/2015 12:51:20 PM,11/20/2019 04:55:20 PM,[{'ACH-000017-00': []}],,ATCC,,,,,Breast Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0033,pleural_effusion,SIDM00897,,SKBR3,Carcinoma,Arxspan Support,Emily Chambers,,ACH-000017,breast_carcinoma,ERneg_HER2pos,HER2_amp,,breast
Adult,,T24_URINARY_TRACT,81,Female,CDDB:001172,724812,T24,CCLE line; Identical lines: T24 and ACCS share high SNP identity,09/23/2015 12:51:21 PM,11/20/2019 04:55:20 PM,[{'ACH-000018-00': []}],,ATCC,,P500,,,Bladder Cancer,carcinoma,Primary,CCLE,[],,CVCL_0554,urinary_tract,SIDM01184,,T24,Carcinoma,Arxspan Support,Emily Chambers,1455,ACH-000018,bladder_carcinoma,,,,urinary_tract
Adult,,MCF7_BREAST,69,Female,CDDB:000646,905946,MCF7,CCLE line; ERpos; Identical lines: MCF-7 and KPL-1 share high SNP identity; luminal,09/23/2015 12:51:22 PM,11/20/2019 04:55:21 PM,[{'ACH-000019-00': []}],,ATCC,,P500,,,Breast Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0031,pleural_effusion,SIDM00148,,MCF7,Carcinoma,Arxspan Support,Emily Chambers,588,ACH-000019,breast_carcinoma,ERpos_HER2neg,luminal,,breast
Pediatric,,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,15,Female,CDDB:000674,908132,MHH-CALL-2,CCLE line,09/23/2015 12:51:23 PM,11/20/2019 04:56:51 PM,[{'ACH-000020-00': []}],,DSMZ,,,,,Leukemia,lymphoid_neoplasm,,CCLE,[],,CVCL_1409,haematopoietic_and_lymphoid_tissue,SIDM00331,,MHHCALL2,"Acute Lymphoblastic Leukemia (ALL), B-cell",Arxspan Support,Emily Chambers,1906,ACH-000020,ALL,b_cell,,,blood
Adult,,NCIH1693_LUNG,55,Female,CDDB:155439,687802,NCI-H1693,CCLE line,09/23/2015 12:51:23 PM,11/20/2019 04:55:21 PM,[{'ACH-000021-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1488,lymph_node,SIDM00742,,NCIH1693,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,634,ACH-000021,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,PATU8988S_PANCREAS,64,Female,CDDB:000929,,PA-TU-8988S,CCLE line; PA-TU-8988T &amp; PA-TU-8988S derived from the same patient (DSMZ).,09/23/2015 12:51:24 PM,11/20/2019 04:56:52 PM,[{'ACH-000022-00': []}],,DSMZ,,P500,,,Pancreatic Cancer,Adenocarcinoma,Metastasis,CCLE,[],,CVCL_1846,liver,SIDM00452,,PATU8988S,"Ductal Adenocarcinoma, exocrine",Arxspan Support,Emily Chambers,,ACH-000022,exocrine,exocrine_adenocarcinoma,,,pancreas
Adult,,PATU8988T_PANCREAS,64,Female,CDDB:000930,1240201,PA-TU-8988T,CCLE line; PA-TU-8988T &amp; PA-TU-8988S derived from the same patient (DSMZ).,09/23/2015 12:51:25 PM,11/20/2019 04:56:52 PM,[{'ACH-000023-00': []}],,DSMZ,,P500,,,Pancreatic Cancer,Adenocarcinoma,Metastasis,CCLE,[],,CVCL_1847,liver,SIDM00453,,PATU8988T,"Ductal Adenocarcinoma, exocrine",Arxspan Support,Emily Chambers,1242,ACH-000023,exocrine,exocrine_adenocarcinoma,,,pancreas
Adult,,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,56,Female,CDDB:000901,909249,OPM-2,CCLE line; same patient as OPM-1,09/23/2015 12:51:26 PM,11/20/2019 04:56:52 PM,[{'ACH-000024-00': []}],,DSMZ,,,,,Myeloma,lymphoid_neoplasm,Primary,CCLE,[],,CVCL_1625,haematopoietic_and_lymphoid_tissue,SIDM00457,,OPM2,Multiple Myeloma,Arxspan Support,Emily Chambers,112,ACH-000024,multiple_myeloma,,,,plasma_cell
Adult,,CH157MN_CENTRAL_NERVOUS_SYSTEM,,Female,CDDB:000140,,CH-157MN,"Received from Academic lab (Dunn, BWH)",09/23/2015 12:51:27 PM,11/20/2019 04:54:18 PM,[{'ACH-000025-00': []}],,Academic lab,,PRN300,,,Brain Cancer,meningioma,,Appendix,[],,CVCL_5723,central_nervous_system,,,CH157MN,Meningioma,Arxspan Support,Emily Chambers,,ACH-000025,meningioma,,,,central_nervous_system
Adult,,253JBV_URINARY_TRACT,53,Male,CDDB:000009,,253J-BV,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,09/23/2015 12:51:27 PM,11/20/2019 04:58:18 PM,[{'ACH-000026-00': []}],,KCLB,,P500,,,Bladder Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_7937,lymph_node,,,253JBV,Carcinoma,Arxspan Support,Emily Chambers,,ACH-000026,bladder_carcinoma,,,,urinary_tract
Adult,,GOS3_CENTRAL_NERVOUS_SYSTEM,55,Male,CDDB:000281,,GOS-3,CCLE line; Problematic cell line: Contaminated. Shown to be a U-343MGa derivative (PubMed=22570425). Originally thought to originate from the brain of a 55 year old patient with a mixed astro-oligodendroglioma (grade II/III).,09/23/2015 12:51:28 PM,11/20/2019 04:56:52 PM,[{'ACH-000027-00': []}],-1,DSMZ,-1,P500,-1,,Brain Cancer,-1,Primary,CCLE,[],,CVCL_2050,central_nervous_system,,,GOS3,Glioblastoma,Arxspan Support,Emily Chambers,,ACH-000027,glioma,glioblastoma,,,central_nervous_system
Adult,,KPL1_BREAST,50,Female,CDDB:000569,,KPL-1,CCLE line; ERpos; Identical lines: MCF-7 and KPL-1 share high SNP identity; luminal,09/23/2015 12:51:29 PM,11/20/2019 04:56:52 PM,[{'ACH-000028-00': []}],,DSMZ,,P500,,,Breast Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_2094,pleural_effusion,SIDM00147,,KPL1,Carcinoma,Arxspan Support,Emily Chambers,,ACH-000028,breast_carcinoma,ERpos_HER2neg,luminal,,breast
Adult,HCC827 GR5,HCC827GR5_LUNG,39,Female,CDDB:000341,,HCC-827-GR5,"MET amplified clone of HCC827; Received from Academic lab (Janne, DFCI)",09/23/2015 12:51:30 PM,11/20/2019 04:54:19 PM,[{'ACH-000029-00': []}],-1,Academic lab,-1,-1,-1,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_V622,lung,,,HCC827GR5,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,,ACH-000029,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,PC14_LUNG,,Male,CDDB:000931,753608,PC-14,CCLE line; PC-14 was originally deposited with the Riken BioResource Center as a cell line derived from human lung adenocarcinoma (undifferentiated type) in 1989. The RIKEN BioResource Center subsequently informed the European Collection of Cell Cultures (ECACC) tha,09/23/2015 12:51:31 PM,11/20/2019 04:58:30 PM,[{'ACH-000030-00': []}],,RIKEN,,P500,,,Lung Cancer,carcinoma,Primary,CCLE,[],,CVCL_1640,lung,SIDM00237,,PC14,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,198,ACH-000030,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,PANC0213_PANCREAS,64,Female,CDDB:000921,,Panc 02.13,CCLE line,09/23/2015 12:51:32 PM,11/20/2019 04:55:21 PM,[{'ACH-000031-00': []}],,ATCC,,,,,Pancreatic Cancer,Adenocarcinoma,Primary,CCLE,[],,CVCL_1634,pancreas,,,PANC0213,"Ductal Adenocarcinoma, exocrine",Arxspan Support,Emily Chambers,,ACH-000031,exocrine,exocrine_adenocarcinoma,,,pancreas
Adult,,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,11,Female,CDDB:000675,,MHH-CALL-3,CCLE line,09/23/2015 12:51:32 PM,11/20/2019 04:56:52 PM,[{'ACH-000032-00': []}],,DSMZ,,,,,Leukemia,lymphoid_neoplasm,,CCLE,[],,CVCL_0089,bone_marrow,,,MHHCALL3,"Acute Lymphoblastic Leukemia (ALL), B-cell",Arxspan Support,Emily Chambers,,ACH-000032,ALL,b_cell,,,blood
Adult,,NCIH1819_LUNG,,Female,CDDB:155452,,NCI-H1819,"NCIH1819 and NCIH1693 have same fingerprint; Received from Academic lab (Meyerson, Broad) who received from Minna",09/23/2015 12:51:33 PM,11/20/2019 04:54:19 PM,[{'ACH-000033-00': []}],-1,Academic lab,-1,-1,-1,,Lung Cancer,Adenocarcinoma,Metastasis,Appendix,[],,CVCL_1497,lymph_node,,,NCIH1819,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,,ACH-000033,NSCLC,NSCLC_adenocarcinoma,,,lung
Pediatric,"PLB985, PLB-985",PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,Female,CDDB:000949,,,"no known fusion; p53 WT; NRAS mut; KIT mut; Identical lines: known derivative of HL-6share high SNP identitify; Received from Academic lab (Pellman, DFCI)",09/23/2015 12:51:34 PM,11/20/2019 04:54:19 PM,[{'ACH-000034-00': []}],,Academic lab,,,,,Leukemia,,,Appendix,[],,CVCL_2162,haematopoietic_and_lymphoid_tissue,SIDM00811,,PLB985,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,,ACH-000034,AML,,,,blood
Adult,,NCIH1650_LUNG,27,Male,CDDB:155434,687800,NCI-H1650,CCLE line; pleural effusion,09/23/2015 12:51:35 PM,11/20/2019 04:55:21 PM,[{'ACH-000035-00': []}],,ATCC,,P500,,,Lung Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1483,pleural_effusion,SIDM00745,,NCIH1650,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,1548,ACH-000035,NSCLC,NSCLC_adenocarcinoma,,,lung
Adult,,U343_CENTRAL_NERVOUS_SYSTEM,64,Unknown,CDDB:001227,,U343,Received from Academic lab (Linda Chin),09/23/2015 12:51:36 PM,11/21/2019 11:49:06 AM,[{'ACH-000036-00': []}],,Academic lab,,PRN300,,,Brain Cancer,glioma,,Appendix,[],,CVCL_4773,central_nervous_system,,,U343,Glioblastoma,Arxspan Support,Emily Chambers,,ACH-000036,glioma,glioblastoma,,,central_nervous_system
Adult,,S117_THYROID,47,Female,CDDB:001002,,S-117,CCLE line,09/23/2015 12:51:36 PM,11/20/2019 04:56:53 PM,[{'ACH-000037-00': []}],,DSMZ,,P500,,S117_SOFT_TISSUE,Sarcoma,sarcoma,,CCLE,[],,CVCL_1674,soft_tissue,SIDM00035,,S117,Thyroid Sarcoma,Arxspan Support,Emily Chambers,,ACH-000037,thyroid_sarcoma,,,,soft_tissue
Adult,,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,69,Female,CDDB:000239,906854,EHEB,CCLE line,09/23/2015 12:51:37 PM,11/20/2019 04:56:53 PM,[{'ACH-000038-00': []}],,DSMZ,,,,,Lymphoma,lymphoid_neoplasm,,CCLE,[],,CVCL_1194,haematopoietic_and_lymphoid_tissue,SIDM01049,,EHEB,B-cell,Arxspan Support,Emily Chambers,39,ACH-000038,lymphoma_unspecified,b_cell,,,lymphocyte
Pediatric,,SKNMC_BONE,14,Female,CDDB:001056,,SK-N-MC,CCLE line; (RNAseq) EWS/FLI; MC-IXC is a twice cloned subline of the neuroepithelioma cell line SK-N-MC which was established in September of 1971 from a metastatic tumor mass (ATCC).,09/23/2015 12:51:38 PM,11/20/2019 04:55:21 PM,[{'ACH-000039-00': []}],,ATCC,,PRN300,,,Bone Cancer,Ewings_sarcoma,Metastasis,CCLE,[],,CVCL_0530,bone,SIDM00634,,SKNMC,Ewings Sarcoma,Arxspan Support,Emily Chambers,,ACH-000039,Ewing_sarcoma,,EWS_FLI,,bone
Adult,,U118MG_CENTRAL_NERVOUS_SYSTEM,,Male,CDDB:001218,687588,U-118 MG,"CCLE line; Identical lines: U-118 MG, U-138 MG and 1321N1 share high SNP identity; Astrocytoma",09/23/2015 12:51:39 PM,11/20/2019 04:55:21 PM,[{'ACH-000040-00': []}],,ATCC,,P500,,,Brain Cancer,glioma,Primary,CCLE,[],,CVCL_0633,central_nervous_system,SIDM01193,,U118MG,Astrocytoma,Arxspan Support,Emily Chambers,7,ACH-000040,glioma,astrocytoma,,,central_nervous_system
Pediatric,,RDES_BONE,19,Male,CDDB:000963,,RD-ES,(RNAseq) EWS/FLI,09/23/2015 12:51:40 PM,11/19/2019 01:36:06 PM,[{'ACH-000041-00': []}],,ATCC,,PRN300,,,Bone Cancer,Ewings_sarcoma,Primary,CCLE,[],,CVCL_2169,bone,,,RDES,Ewings Sarcoma,Arxspan Support,Emily Chambers,,ACH-000041,Ewing_sarcoma,,EWS_FLI,,bone
Adult,,PANC0203_PANCREAS,70,Female,CDDB:000920,1298475,Panc 02.03,CCLE line,09/23/2015 12:51:40 PM,11/20/2019 04:55:21 PM,[{'ACH-000042-00': []}],,ATCC,,P500,,,Pancreatic Cancer,Adenocarcinoma,Primary,CCLE,[],,CVCL_1633,pancreas,SIDM01139,,PANC0203,"Ductal Adenocarcinoma, exocrine",Arxspan Support,Emily Chambers,1838,ACH-000042,exocrine,exocrine_adenocarcinoma,,,pancreas
Adult,,HS895T_FIBROBLAST,48,Female,CDDB:000434,,Hs 895.T,CCLE line,09/23/2015 12:51:41 PM,11/20/2019 04:55:21 PM,[{'ACH-000043-00': []}],,ATCC,,,,HS895T_SKIN; HS895T_FIBROBLAST,Fibroblast,malignant_melanoma,Metastasis,CCLE Phase II- not available,[],,CVCL_0993,fibroblast,,,HS895T,Skin,Arxspan Support,Emily Chambers,,ACH-000043,fibroblast_skin,,,,fibroblast
Adult,,MDAMB134VI_BREAST,47,Female,CDDB:000647,,MDA-MB-134-VI,CCLE line; Erpos; luminal,09/23/2015 12:51:42 PM,11/20/2019 04:55:22 PM,[{'ACH-000044-00': []}],,ATCC,,,,,Breast Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_0617,pleural_effusion,SIDM00005,,MDAMB134VI,Breast Ductal Carcinoma,Arxspan Support,Emily Chambers,,ACH-000044,breast_ductal_carcinoma,ERpos_HER2neg,luminal,,breast
Pediatric,MV-4-11,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10,Male,CDDB:000710,908156,MV4;11,CCLE line; PML-RARa; p53 mut; KRAS mut,09/23/2015 12:51:43 PM,11/20/2019 04:55:22 PM,[{'ACH-000045-00': []}],-1,ATCC,-1,-1,-1,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_0064,haematopoietic_and_lymphoid_tissue,SIDM00657,,MV411,Acute Myelogenous Leukemia (AML),Arxspan Support,Emily Chambers,133,ACH-000045,AML,,,,blood
Adult,,ACHN_KIDNEY,22,Male,CDDB:000043,905950,ACHN,CCLE line,09/23/2015 12:51:44 PM,11/20/2019 04:55:22 PM,[{'ACH-000046-00': []}],,ATCC,,P500,,,Kidney Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1067,pleural_effusion,SIDM00123,,ACHN,Renal Cell Carcinoma,Arxspan Support,Emily Chambers,371,ACH-000046,renal_cell_carcinoma,,,,kidney
Adult,,GCIY_STOMACH,,Female,CDDB:000270,906869,GCIY,CCLE line,09/23/2015 12:51:45 PM,11/20/2019 04:58:30 PM,[{'ACH-000047-00': []}],,RIKEN,,P500,,,Gastric Cancer,carcinoma,Metastasis,CCLE,[],,CVCL_1228,ascites,SIDM00274,,GCIY,Adenocarcinoma,Arxspan Support,Emily Chambers,1414,ACH-000047,gastric_adenocarcinoma,,,,gastric
Adult,,TOV112D_OVARY,42,Female,CDDB:001208,1299070,TOV-112D,CCLE line; Identical lines: TOV-112D and Hs 571.T share high SNP identity,09/23/2015 12:51:45 PM,11/20/2019 04:55:22 PM,[{'ACH-000048-00': []}],,ATCC,,P500,,,Ovarian Cancer,carcinoma,Primary,CCLE,[],,CVCL_3612,ovary,SIDM01170,,TOV112D,"Adenocarcinoma, endometrioid",Arxspan Support,Emily Chambers,5,ACH-000048,ovary_adenocarcinoma,endometrioid,,,ovary
Adult,,HEKTE_KIDNEY,,Unknown,CDDB:000361,,HEK TE,"Received from Academic lab (Boehm, Broad)",09/23/2015 12:51:46 PM,11/21/2019 11:49:06 AM,[{'ACH-000049-00': []}],,Academic lab,,,,,Engineered,other,,Appendix,[],,CVCL_WS59,kidney,,,HEKTE,,Arxspan Support,Emily Chambers,,ACH-000049,,,,,engineered_kidney
Adult,,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,62,Female,CDDB:128013,724825,NCI-H929,CCLE line,09/23/2015 12:51:47 PM,11/20/2019 04:55:22 PM,[{'ACH-000050-00': []}],,ATCC,,,,,Myeloma,lymphoid_neoplasm,Metastasis,CCLE,[],,CVCL_1600,pleural_effusion,SIDM01148,,NCIH929,"Multiple Myeloma, plasmacytoma",Arxspan Support,Emily Chambers,1230,ACH-000050,multiple_myeloma,plasmacytoma,,,plasma_cell
Pediatric,,TE617T_SOFT_TISSUE,1.67,Female,CDDB:001195,,TE 617.T,CCLE line,09/23/2015 12:51:48 PM,11/20/2019 04:55:22 PM,[{'ACH-000051-00': []}],,ATCC,,PRN300,,,Sarcoma,rhabdomyosarcoma,Primary,CCLE,[],,CVCL_1755,soft_tissue,,,TE617T,Rhabdomyosarcoma,Arxspan Support,Emily Chambers,,ACH-000051,rhabdomyosarcoma,,,,soft_tissue
